"FREQ","C2(2)"
1,19.63
1.258925412,21.6252
1.584893192,23.6177
1.995262315,25.6057
2.511886432,27.5868
3.16227766,29.5571
3.981071706,31.5103
5.011872336,33.4372
6.309573445,35.3239
7.943282347,37.1501
10,38.8881
12.58925412,40.5028
15.84893192,41.9545
19.95262315,43.2065
25.11886432,44.2347
31.6227766,45.0364
39.81071706,45.6308
50.11872336,46.0525
63.09573445,46.3413
79.43282347,46.534
100,46.6601
125.8925412,46.7416
158.4893192,46.7938
199.5262315,46.8271
251.1886432,46.8482
316.227766,46.8616
398.1071706,46.87
501.1872336,46.8754
630.9573445,46.8788
794.3282347,46.8809
1000,46.8822
1258.925412,46.8831
1584.893192,46.8836
1995.262315,46.884
2511.886432,46.8842
3162.27766,46.8843
3981.071706,46.8844
5011.872336,46.8844
6309.573445,46.8844
7943.282347,46.8844
10000,46.8843
12589.25412,46.8842
15848.93192,46.8841
19952.62315,46.8838
25118.86432,46.8834
31622.7766,46.8827
39810.71706,46.8816
50118.72336,46.8798
63095.73445,46.8771
79432.82347,46.8727
100000,46.8658
125892.5412,46.8549
158489.3192,46.8377
199526.2315,46.8106
251188.6432,46.7679
316227.766,46.701
398107.1706,46.5972
501187.2336,46.4375
630957.3445,46.1958
794328.2347,45.8381
1000000,45.3252
1258925.412,44.6184
1584893.192,43.6898
1995262.315,42.5307
2511886.432,41.155
3162277.66,39.5925
3981071.706,37.8792
5011872.336,36.0476
6309573.445,34.1205
7943282.347,32.1088
10000000,30.0106
12589254.12,27.8117
15848931.92,25.4861
19952623.15,22.9995
25118864.32,20.3168
31622776.6,17.4114
39810717.06,14.2758
50118723.36,10.9246
63095734.45,7.38976
79432823.47,3.71107
100000000,-0.0732554
