0 7,95827e-023
0,12 3,93634e-007
0,24 4,1001e-005
0,36 0,00368149
0,48 0,0537943
0,6 0,146858
0,72 0,251748
0,84 0,361364
0,96 0,473145
1,08 0,586472
1,2 0,700723
1,32 0,81562
1,44 0,931011
1,56 1,04679
1,68 1,16287
1,92 1,39575
2,16 1,62934
2,4 1,86345
2,76 2,21535
3,24 2,68552
3,84 3,27432
4,56 3,98196
5,52 4,9267
6,84 6,22721
8,16 7,52885
9,48 8,83127
10,56 9,89705
10,8 10,1331
11,04 10,3661
11,16 10,4792
11,28 10,5872
11,4 10,687
11,52 10,7755
11,64 10,8511
11,76 10,9142
11,88 10,9667
12 11,0107
12,12 11,048
12,24 11,0802
12,36 11,1084
12,48 11,1333
12,72 11,1757
12,96 11,211
13,2 11,2411
13,44 11,2674
13,68 11,2907
14,04 11,3214
14,4 11,3483
14,76 11,3723
15,24 11,4007
15,72 11,426
16,32 11,4543
16,92 11,4797
17,64 11,5073
18,48 11,5364
19,44 11,5666
20,52 11,5975
21,72 11,6289
23,04 11,6607
24,36 11,6904
25,68 11,7183
27 11,7448
28,32 11,7702
29,64 11,7946
30,96 11,8183
32,28 11,8412
33,6 11,8636
34,92 11,8855
36,24 11,907
37,56 11,9281
38,88 11,9489
40,2 11,9694
41,52 11,9897
42,84 12,0098
44,16 12,0296
45,48 12,0494
46,8 12,069
48,12 12,0885
49,44 12,1079
50,76 12,1272
52,08 12,1464
53,4 12,1656
54,72 12,1847
56,04 12,2038
57,36 12,2229
58,68 12,2419
60 12,2609
61,32 12,28
62,64 12,299
63,96 12,3181
65,28 12,3371
66,6 12,3562
67,92 12,3753
69,24 12,3944
70,56 12,4136
71,88 12,4327
73,2 12,452
74,52 12,4712
75,84 12,4905
77,16 12,5099
78,48 12,5293
79,8 12,5488
81,12 12,5683
82,44 12,5879
83,76 12,6075
85,08 12,6272
86,4 12,6469
87,72 12,6667
89,04 12,6866
90,36 12,7065
91,68 12,7265
93 12,7466
94,32 12,7668
95,64 12,787
96,96 12,8073
98,28 12,8276
99,6 12,8481
100,92 12,8686
102,24 12,8892
103,56 12,9098
104,88 12,9306
106,2 12,9514
107,52 12,9723
108,84 12,9933
110,16 13,0143
111,48 13,0354
112,8 13,0567
114,12 13,0779
115,44 13,0993
116,76 13,1208
118,08 13,1423
119,4 13,1639
119,88 13,1718
