0 7,8608e-030
0,12 4,98807e-009
0,24 5,20364e-007
0,36 5,36629e-005
0,48 0,00416355
0,6 0,0385519
0,72 0,0922709
0,84 0,151289
0,96 0,21237
1,08 0,274793
1,2 0,337859
1,32 0,401331
1,44 0,465104
1,56 0,529098
1,68 0,593252
1,92 0,721896
2,16 0,850822
2,76 1,17367
3,48 1,56116
4,08 1,88371
4,68 2,20573
5,28 2,52716
5,88 2,84794
6,48 3,16807
7,2 3,55135
7,92 3,9337
8,64 4,31512
9,48 4,75899
10,32 5,20168
11,28 5,70625
12,24 6,20943
13,32 6,77394
14,4 7,3369
15,6 7,96072
16,92 8,64502
18,24 9,32749
19,44 9,9463
20,04 10,2543
20,4 10,4369
20,64 10,556
20,88 10,6706
21 10,7252
21,12 10,7774
21,24 10,8267
21,36 10,8728
21,48 10,9155
21,6 10,9546
21,72 10,9904
21,84 11,023
21,96 11,0526
22,08 11,0797
22,32 11,127
22,56 11,1671
22,8 11,2017
23,04 11,2319
23,28 11,2586
23,52 11,2826
23,88 11,3145
24,24 11,3425
24,6 11,3675
25,08 11,3973
25,56 11,4238
26,16 11,4535
26,76 11,4802
27,48 11,5091
28,32 11,5395
29,28 11,5711
30,36 11,6033
31,56 11,636
32,88 11,6692
34,2 11,7001
35,52 11,7292
36,84 11,7568
38,16 11,7832
39,48 11,8086
40,8 11,8332
42,12 11,8571
43,44 11,8804
44,76 11,9032
46,08 11,9255
47,4 11,9475
48,72 11,9691
50,04 11,9905
51,36 12,0116
52,68 12,0325
54 12,0532
55,32 12,0738
56,64 12,0942
57,96 12,1145
59,28 12,1346
60,6 12,1547
61,92 12,1747
63,24 12,1947
64,56 12,2146
65,88 12,2345
67,2 12,2543
68,52 12,2741
69,84 12,2939
71,16 12,3137
72,48 12,3335
73,8 12,3533
75,12 12,3732
76,44 12,393
77,76 12,4128
79,08 12,4327
80,4 12,4526
81,72 12,4725
83,04 12,4925
84,36 12,5125
85,68 12,5326
87 12,5526
88,32 12,5728
89,64 12,593
90,96 12,6132
92,28 12,6335
93,6 12,6539
94,92 12,6743
96,24 12,6947
97,56 12,7153
98,88 12,7359
100,2 12,7565
101,52 12,7772
102,84 12,798
104,16 12,8189
105,48 12,8398
106,8 12,8608
108,12 12,8819
109,44 12,903
110,76 12,9242
112,08 12,9455
113,4 12,9668
114,72 12,9882
116,04 13,0098
117,36 13,0313
118,68 13,053
119,88 13,0727
