130 32,2522
128,7 32,2496
127,27 32,2476
125,84 32,2455
124,41 32,2433
122,98 32,2411
121,55 32,2388
120,12 32,2365
118,69 32,234
117,26 32,2315
115,83 32,2289
114,4 32,2261
112,97 32,2233
111,54 32,2204
110,11 32,2174
108,68 32,2142
107,25 32,211
105,82 32,2076
104,39 32,2041
102,96 32,2004
101,53 32,1966
100,1 32,1926
98,67 32,1885
97,24 32,1842
95,81 32,1797
94,38 32,175
92,95 32,1701
91,52 32,165
90,09 32,1596
88,66 32,154
87,23 32,1482
85,8 32,142
84,37 32,1355
82,94 32,1287
81,51 32,1215
80,08 32,114
78,65 32,106
77,22 32,0976
75,79 32,0887
74,36 32,0793
72,93 32,0693
71,5 32,0587
70,07 32,0473
68,64 32,0352
67,21 32,0223
65,78 32,0083
64,35 31,9933
62,92 31,9771
61,49 31,9593
60,06 31,9399
58,63 31,9184
57,2 31,8943
55,77 31,8669
54,34 31,8348
53,04 31,7998
52 31,7653
51,22 31,7334
50,57 31,7002
50,05 31,6667
49,66 31,6348
49,27 31,5935
49,01 31,5579
48,75 31,5131
48,49 31,4567
48,23 31,3883
47,84 31,2702
46,41 30,8016
44,98 30,3297
43,55 29,8578
42,12 29,3859
40,69 28,914
39,26 28,4421
37,83 27,9701
36,4 27,4981
34,97 27,026
34,71 26,9399
34,58 26,8928
34,45 26,8323
34,32 26,756
34,19 26,6646
33,93 26,4644
33,41 26,0729
32,63 25,4763
31,2 24,3735
29,77 23,2662
28,34 22,157
26,91 21,0467
25,48 19,9357
24,05 18,8242
22,62 17,7125
21,19 16,6006
19,76 15,4885
18,33 14,3763
16,9 13,2639
15,47 12,1512
14,3 11,24
13,78 10,8336
13,52 10,628
13,13 10,3068
12,35 9,66064
11,83 9,22844
11,44 8,90274
11,18 8,68412
10,92 8,463
10,79 8,35049
10,66 8,23508
10,53 8,11217
10,4 7,76171
10,27 6,97409
10,14 6,17188
10,01 5,365
9,88 4,56906
9,75 3,80313
9,62 3,08784
9,49 2,44241
9,36 1,88145
9,23 1,41254
9,1 1,03546
8,97 0,743164
8,84 0,523957
8,71 0,364157
8,58 0,250321
8,45 0,17067
8,32 0,115681
8,19 0,0780848
8,06 0,0525568
7,93 0,0353057
7,8 0,0236859
7,67 0,0158766
7,54 0,010636
7,41 0,00712264
7,28 0,0047688
7,15 0,00319245
7,02 0,00213706
6,89 0,00143057
6,76 0,000957671
6,63 0,000641148
6,5 0,000429288
6,37 0,00028748
6,24 0,000192556
6,11 0,000129013
5,98 8,64727e-005
5,85 5,7991e-005
5,72 3,89198e-005
5,59 2,61483e-005
5,46 1,75943e-005
5,33 1,18641e-005
5,2 8,02471e-006
5,07 5,45172e-006
4,94 3,7271e-006
4,81 2,57109e-006
4,68 1,79652e-006
4,55 1,27824e-006
4,42 9,32621e-007
4,29 7,03823e-007
4,16 5,54327e-007
4,03 4,58397e-007
3,9 3,9765e-007
3,77 3,58671e-007
3,64 3,32159e-007
3,51 3,12308e-007
3,38 2,95853e-007
3,25 2,81097e-007
3,12 2,67198e-007
2,99 2,53748e-007
2,86 2,40555e-007
2,73 2,27527e-007
2,6 2,14623e-007
2,47 2,01821e-007
2,34 1,89113e-007
2,21 1,76495e-007
2,08 1,63966e-007
1,95 1,51526e-007
1,82 1,39177e-007
1,69 1,26921e-007
1,56 1,14761e-007
1,43 1,02699e-007
1,3 9,07426e-008
1,17 7,88978e-008
1,04 6,7176e-008
0,91 5,55937e-008
0,78 4,41792e-008
0,65 3,29811e-008
0,52 2,2105e-008
0,39 1,18243e-008
0,26 3,193e-009
0,13 9,73691e-011
1,755928736e-012 2,68464e-017
