130 32,5268
128,7 32,5274
127,27 32,5281
125,84 32,5287
124,41 32,5294
122,98 32,53
121,55 32,5307
120,12 32,5314
118,69 32,5321
117,26 32,5327
115,83 32,5334
114,4 32,5341
112,97 32,5348
111,54 32,5355
110,11 32,5362
108,68 32,5369
107,25 32,5376
105,82 32,5383
104,39 32,539
102,96 32,5397
101,53 32,5404
100,1 32,5412
98,67 32,5419
97,24 32,5426
95,81 32,5433
94,38 32,544
92,95 32,5447
91,52 32,5454
90,09 32,5461
88,66 32,5468
87,23 32,5475
85,8 32,5482
84,37 32,5489
82,94 32,5496
81,51 32,5502
80,08 32,5509
78,65 32,5515
77,22 32,5522
75,79 32,5528
74,36 32,5534
72,93 32,554
71,5 32,5545
70,07 32,5551
68,64 32,5556
67,21 32,5561
65,78 32,5566
64,35 32,557
62,92 32,5574
61,49 32,5578
60,06 32,5581
58,63 32,5584
57,2 32,5586
55,77 32,5587
54,34 32,5588
52,91 32,5588
51,48 32,5588
50,05 32,5586
48,62 32,5583
47,19 32,558
45,76 32,5575
44,33 32,5569
42,9 32,5561
41,47 32,5552
40,04 32,554
38,61 32,5527
37,18 32,5511
35,75 32,5492
34,32 32,547
33,41 32,5453
33,28 32,5439
33,15 32,472
33,02 32,3935
32,89 32,2615
32,63 31,9818
32,5 31,8455
32,37 31,7183
32,24 31,5985
30,81 30,1713
29,38 28,7416
27,95 27,3118
26,52 25,8821
25,09 24,4524
23,66 23,0226
22,23 21,5929
20,8 20,1631
19,37 18,7334
17,94 17,3036
16,51 15,8738
15,08 14,4439
13,65 13,0134
12,22 11,5746
11,31 10,6609
10,66 10,0104
10,14 9,49197
9,62 8,97615
9,23 8,59156
8,71 8,08104
8,45 7,82465
8,19 7,56574
8,06 7,4347
7,93 7,30117
7,8 7,16049
7,67 6,64478
7,54 4,70812
7,41 3,28175
7,28 2,25992
7,15 1,54267
7,02 1,04657
6,89 0,706985
6,76 0,476207
6,63 0,320144
6,5 0,214958
6,37 0,144222
6,24 0,0967239
6,11 0,0648604
5,98 0,0434985
5,85 0,0291825
5,72 0,0195905
5,59 0,0131641
5,46 0,00885873
5,33 0,00597402
5,2 0,00404096
5,07 0,00274539
4,94 0,00187695
4,81 0,00129481
4,68 0,000904743
4,55 0,000643734
4,42 0,00046968
4,29 0,000354455
4,16 0,000279167
4,03 0,000230855
3,9 0,000200262
3,77 0,000180632
3,64 0,00016728
3,51 0,000157283
3,38 0,000148996
3,25 0,000141565
3,12 0,000134564
2,99 0,000127791
2,86 0,000121147
2,73 0,000114586
2,6 0,000108087
2,47 0,00010164
2,34 9,52401e-005
2,21 8,88855e-005
2,08 8,25758e-005
1,95 7,63107e-005
1,82 7,00919e-005
1,69 6,39196e-005
1,56 5,77954e-005
1,43 5,17211e-005
1,3 4,56994e-005
1,17 3,97342e-005
1,04 3,38309e-005
0,91 2,7998e-005
0,78 2,22494e-005
0,65 1,66098e-005
0,52 1,11325e-005
0,39 5,95495e-006
0,26 1,60806e-006
0,13 4,90376e-008
1,755928736e-012 1,35139e-014
