130 31,9788
128,7 31,9678
127,27 31,9556
125,84 31,9422
124,41 31,9275
122,98 31,9113
121,55 31,893
120,12 31,872
118,69 31,8471
117,39 31,8194
116,35 31,7919
115,44 31,7615
114,79 31,7341
114,27 31,7068
113,75 31,6723
113,36 31,6397
112,97 31,5991
112,58 31,5487
112,19 31,4881
111,67 31,3951
110,76 31,2179
109,33 30,9325
107,9 30,6466
106,47 30,3607
105,04 30,0749
103,61 29,7891
102,18 29,5033
100,75 29,2176
99,32 28,932
97,89 28,6465
96,46 28,3609
95,03 28,0755
93,6 27,7901
92,17 27,5048
90,74 27,2195
89,31 26,9343
87,88 26,6491
86,45 26,364
85,02 26,079
83,59 25,794
82,16 25,5091
80,73 25,2243
79,3 24,9395
77,87 24,6547
76,44 24,3701
75,01 24,0855
73,58 23,8009
72,15 23,5164
70,72 23,232
69,29 22,9476
67,86 22,6633
66,43 22,3791
65 22,0949
63,57 21,8108
62,14 21,5267
60,71 21,2427
59,28 20,9588
57,85 20,6749
56,42 20,3911
54,99 20,1073
53,56 19,8235
52,13 19,5399
50,7 19,2562
49,27 18,9726
47,84 18,6891
46,41 18,4055
44,98 18,122
43,55 17,8385
42,12 17,5551
40,69 17,2716
39,26 16,9882
37,83 16,7047
36,4 16,4211
34,97 16,1376
33,54 15,8539
32,11 15,5701
30,68 15,2862
29,25 15,0021
27,82 14,7177
26,39 14,4329
24,96 14,1477
23,53 13,8618
22,1 13,5749
21,19 13,3917
21,06 13,3652
20,93 13,3334
20,8 13,288
20,67 13,2277
20,54 13,1527
20,28 12,9773
20,15 12,9
19,37 12,4118
18,59 11,9204
17,42 11,1797
15,99 10,2715
14,69 9,44417
14,04 9,02944
13,65 8,77907
13,52 8,69433
13,26 8,51856
12,74 8,1635
12,35 7,89577
12,09 7,71591
11,83 7,53372
11,7 7,44077
11,57 7,34495
11,44 7,24116
11,31 7,00115
11,18 6,64228
11,05 6,26737
10,92 5,87951
10,79 5,47735
10,66 5,06107
10,53 4,6315
10,4 4,19044
10,27 3,74096
10,14 3,28782
10,01 2,83775
9,88 2,39943
9,75 1,98301
9,62 1,59899
9,49 1,25663
9,36 0,962385
9,23 0,718886
9,1 0,524765
8,97 0,375363
8,84 0,263957
8,71 0,183098
8,58 0,125684
8,45 0,0856068
8,32 0,0579842
8,19 0,0391207
8,06 0,0263225
7,93 0,0176785
7,8 0,0118584
7,67 0,00794783
7,54 0,00532402
7,41 0,00356519
7,28 0,00238692
7,15 0,00159788
7,02 0,00106962
6,89 0,000716007
6,76 0,000479318
6,63 0,000320895
6,5 0,000214858
6,37 0,000143883
6,24 9,63741e-005
6,11 6,45707e-005
5,98 4,32794e-005
5,85 2,90244e-005
5,72 1,94793e-005
5,59 1,30872e-005
5,46 8,8059e-006
5,33 5,93793e-006
5,2 4,01634e-006
5,07 2,72857e-006
4,94 1,8654e-006
4,81 1,28682e-006
4,68 8,99154e-007
4,55 6,39753e-007
4,42 4,66774e-007
4,29 3,52261e-007
4,16 2,77439e-007
4,03 2,29426e-007
3,9 1,99023e-007
3,77 1,79514e-007
3,64 1,66244e-007
3,51 1,56309e-007
3,38 1,48074e-007
3,25 1,40688e-007
3,12 1,33732e-007
2,99 1,27e-007
2,86 1,20397e-007
2,73 1,13877e-007
2,6 1,07418e-007
2,47 1,01011e-007
2,34 9,46504e-008
2,21 8,83351e-008
2,08 8,20645e-008
1,95 7,58382e-008
1,82 6,96578e-008
1,69 6,35238e-008
1,56 5,74374e-008
1,43 5,14007e-008
1,3 4,54164e-008
1,17 3,94881e-008
1,04 3,36213e-008
0,91 2,78245e-008
0,78 2,21116e-008
0,65 1,65069e-008
0,52 1,10635e-008
0,39 5,91804e-009
0,26 1,59808e-009
0,13 4,87329e-011
1,755928736e012 1,34366e-017
