130 3,28334
128,7 3,28115
127,27 3,27873
125,84 3,2763
124,41 3,27385
122,98 3,27139
121,55 3,26892
120,12 3,26643
118,69 3,26393
117,26 3,26141
115,83 3,25888
114,4 3,25633
112,97 3,25377
111,54 3,25119
110,11 3,24859
108,68 3,24598
107,25 3,24334
105,82 3,24069
104,39 3,23802
102,96 3,23533
101,53 3,23262
100,1 3,22989
98,67 3,22714
97,24 3,22436
95,81 3,22157
94,38 3,21874
92,95 3,2159
91,52 3,21303
90,09 3,21013
88,66 3,20721
87,23 3,20426
85,8 3,20128
84,37 3,19828
82,94 3,19524
81,51 3,19217
80,08 3,18906
78,65 3,18593
77,22 3,18275
75,79 3,17954
74,36 3,1763
72,93 3,17301
71,5 3,16968
70,07 3,16631
68,64 3,16289
67,21 3,15942
65,78 3,15591
64,35 3,15234
62,92 3,14872
61,49 3,14504
60,06 3,1413
58,63 3,1375
57,2 3,13364
55,77 3,1297
54,34 3,12569
52,91 3,1216
51,48 3,11743
50,05 3,11317
48,62 3,10882
47,19 3,10437
45,76 3,09981
44,33 3,09515
42,9 3,09036
41,47 3,08544
40,04 3,08038
38,61 3,07516
37,18 3,06979
35,75 3,06424
34,32 3,05849
32,89 3,05253
31,46 3,04633
30,03 3,03987
28,6 3,03313
27,17 3,02606
25,74 3,01863
24,31 3,01079
22,88 3,00248
21,45 2,99363
20,02 2,98414
18,72 2,97486
17,55 2,9659
16,51 2,95735
15,47 2,94815
14,56 2,93949
13,65 2,93015
12,87 2,9215
12,09 2,91215
11,44 2,90373
10,79 2,89463
10,14 2,88473
9,62 2,87612
9,1 2,86677
8,58 2,85655
8,19 2,8482
7,8 2,83914
7,41 2,82926
7,02 2,81836
6,76 2,81042
6,5 2,80184
6,24 2,79251
5,98 2,78227
5,72 2,77094
5,46 2,75825
5,2 2,74384
5,07 2,73583
4,94 2,72718
4,81 2,71776
4,68 2,70746
4,55 2,69607
4,42 2,68337
4,29 2,66903
4,16 2,65261
4,03 2,63348
3,9 2,61069
3,77 2,58283
3,64 2,54767
3,51 2,50177
3,38 2,44049
3,25 2,36003
3,12 2,26252
2,99 2,15536
2,86 2,04428
2,6 1,81911
2,34 1,59352
2,08 1,36833
1,82 1,14375
1,69 1,03177
1,56 0,920059
1,43 0,808673
1,3 0,697713
1,17 0,587314
1,04 0,477696
0,91 0,369229
0,78 0,262622
0,65 0,159709
0,52 0,0656334
0,39 0,00594537
0,26 5,05853e-005
0,13 3,48646e-007
1,755928736e-012 1,54484e-015
