130 3,2572
128,7 3,25473
127,27 3,252
125,84 3,24925
124,41 3,24648
122,98 3,24369
121,55 3,24088
120,12 3,23804
118,69 3,23518
117,26 3,23229
115,83 3,22938
114,4 3,22644
112,97 3,22347
111,54 3,22048
110,11 3,21746
108,68 3,2144
107,25 3,21131
105,82 3,20819
104,39 3,20504
102,96 3,20185
101,53 3,19863
100,1 3,19536
98,67 3,19206
97,24 3,18872
95,81 3,18533
94,38 3,1819
92,95 3,17842
91,52 3,17489
90,09 3,17131
88,66 3,16768
87,23 3,16399
85,8 3,16024
84,37 3,15643
82,94 3,15256
81,51 3,14862
80,08 3,14461
78,65 3,14052
77,22 3,13635
75,79 3,13209
74,36 3,12775
72,93 3,12331
71,5 3,11876
70,07 3,11411
68,64 3,10935
67,21 3,10446
65,78 3,09943
64,35 3,09426
62,92 3,08894
61,49 3,08345
60,06 3,07778
58,63 3,07191
57,2 3,06582
55,77 3,05949
54,34 3,0529
52,91 3,04602
51,48 3,03882
50,05 3,03125
48,62 3,02327
47,19 3,01482
45,76 3,00584
44,33 2,99624
43,03 2,98688
41,86 2,97786
40,69 2,96818
39,65 2,95893
38,74 2,95026
37,83 2,94095
37,05 2,9324
36,27 2,92323
35,49 2,91333
34,84 2,90445
34,19 2,89488
33,54 2,88453
33,02 2,87559
32,5 2,86597
31,98 2,85556
31,46 2,84423
31,07 2,83503
30,68 2,82514
30,29 2,81446
29,9 2,80287
29,51 2,79023
29,25 2,78113
28,99 2,77144
28,73 2,76108
28,47 2,74999
28,21 2,73809
27,95 2,72529
27,69 2,7115
27,43 2,69664
27,17 2,68062
26,91 2,66337
26,65 2,64482
26,39 2,62496
26,13 2,60377
25,87 2,58132
25,61 2,55768
25,35 2,53297
25,09 2,50733
24,83 2,48091
24,57 2,45384
24,18 2,41234
23,79 2,37008
23,27 2,31304
21,84 2,15492
20,93 2,05454
20,15 1,96894
19,37 1,88382
18,59 1,79922
17,94 1,72911
17,29 1,65937
16,64 1,59
15,99 1,52099
15,34 1,45237
14,69 1,38412
14,04 1,31625
13,39 1,24875
12,87 1,19504
12,35 1,14157
11,83 1,08834
11,31 1,03537
10,79 0,982642
10,27 0,930169
9,75 0,877949
9,23 0,825985
8,71 0,774276
8,19 0,722827
7,8 0,684412
7,41 0,646144
7,02 0,608025
6,63 0,570057
6,24 0,532241
5,85 0,494578
5,46 0,457071
5,07 0,419723
4,68 0,382536
4,42 0,357837
4,16 0,333212
3,9 0,308664
3,64 0,284194
3,38 0,259806
3,12 0,235502
2,86 0,211287
2,6 0,187167
2,34 0,163149
2,21 0,151183
2,08 0,139246
1,95 0,127343
1,82 0,115476
1,69 0,10365
1,56 0,0918693
1,43 0,0801425
1,3 0,0684808
1,17 0,0569012
1,04 0,0454334
0,91 0,0341255
0,78 0,0230818
0,65 0,0125677
0,52 0,00359571
0,39 0,000102709
0,26 7,03931e-007
0,13 4,84239e-009
1,755928736e-012 2,19165e-017
