130 3,15298
128,7 3,14886
127,27 3,14424
125,84 3,13952
124,41 3,1347
122,98 3,12976
121,55 3,1247
120,12 3,1195
118,69 3,11417
117,26 3,10868
115,83 3,10303
114,4 3,09721
112,97 3,0912
111,54 3,08498
110,11 3,07854
108,68 3,07185
107,25 3,06489
105,82 3,05764
104,39 3,05005
102,96 3,0421
101,53 3,03374
100,1 3,02492
98,67 3,01557
97,24 3,00563
95,94 2,996
94,64 2,98572
93,47 2,97583
92,43 2,96646
91,39 2,95647
90,35 2,94578
89,44 2,93576
88,53 2,92504
87,75 2,91521
86,97 2,90473
86,19 2,89351
85,54 2,88353
84,89 2,87291
84,24 2,86158
83,59 2,84948
83,07 2,83919
82,55 2,82832
82,03 2,81681
81,51 2,80464
80,99 2,79176
80,47 2,77814
79,95 2,76376
79,43 2,74859
78,91 2,73265
78,39 2,71593
77,87 2,69846
77,35 2,68028
76,83 2,66144
76,31 2,64201
75,66 2,61699
75,01 2,59128
74,23 2,55971
73,32 2,52216
72,15 2,47314
70,72 2,41266
69,29 2,35204
67,86 2,29154
66,43 2,23132
65 2,17148
63,57 2,11206
62,14 2,05307
60,71 1,99455
59,28 1,93648
57,98 1,88411
56,68 1,83213
55,38 1,78054
54,08 1,72935
52,78 1,67857
51,61 1,6332
50,44 1,58817
49,27 1,54346
48,1 1,49909
46,93 1,45504
45,76 1,41134
44,59 1,36797
43,55 1,3297
42,51 1,2917
41,47 1,25397
40,43 1,21651
39,39 1,17932
38,35 1,14241
37,31 1,10577
36,27 1,0694
35,36 1,03781
34,45 1,00643
33,54 0,97527
32,63 0,94432
31,72 0,913587
30,81 0,88307
29,9 0,852771
28,99 0,822691
28,21 0,797082
27,43 0,771636
26,65 0,746352
25,87 0,721231
25,09 0,696275
24,31 0,671482
23,53 0,646855
22,75 0,622394
21,97 0,5981
21,32 0,577982
20,67 0,557981
20,02 0,538096
19,37 0,51833
18,72 0,498681
18,07 0,47915
17,42 0,459738
16,77 0,440445
16,12 0,421271
15,47 0,402218
14,82 0,383286
14,3 0,368227
13,78 0,353246
13,26 0,338342
12,74 0,323518
12,22 0,308772
11,7 0,294105
11,18 0,279517
10,66 0,265009
10,14 0,250581
9,62 0,236233
9,23 0,225525
8,84 0,214863
8,45 0,204247
8,06 0,193677
7,67 0,183153
7,28 0,172676
6,89 0,162246
6,5 0,151864
6,11 0,141529
5,72 0,131242
5,33 0,121005
4,94 0,110816
4,68 0,104052
4,42 0,0973109
4,16 0,0905926
3,9 0,0838979
3,64 0,0772273
3,38 0,0705815
3,12 0,0639614
2,86 0,0573683
2,6 0,0508036
2,34 0,0442695
2,21 0,0410149
2,08 0,0377693
1,95 0,0345334
1,82 0,0313079
1,69 0,0280941
1,56 0,0248935
1,43 0,0217082
1,3 0,0185412
1,17 0,0153975
1,04 0,0122845
0,91 0,00921595
0,78 0,00622034
0,65 0,00337079
0,52 0,000947905
0,39 2,60217e-005
0,26 1,77839e-007
0,13 1,22334e-009
1,755928736e-012 5,53726e-018
