80 15,4793
79,2 15,4706
78,32 15,461
77,44 15,4513
76,56 15,4414
75,68 15,4315
74,8 15,4215
73,92 15,4113
73,04 15,4011
72,16 15,3907
71,28 15,3801
70,4 15,3695
69,52 15,3587
68,64 15,3478
67,76 15,3367
66,88 15,3254
66 15,314
65,12 15,3024
64,24 15,2906
63,36 15,2787
62,48 15,2665
61,6 15,2541
60,72 15,2415
59,84 15,2287
58,96 15,2156
58,08 15,2022
57,2 15,1886
56,32 15,1746
55,44 15,1604
54,56 15,1458
53,68 15,1308
52,8 15,1155
51,92 15,0997
51,04 15,0834
50,16 15,0667
49,28 15,0495
48,4 15,0316
47,52 15,0132
46,64 14,994
45,76 14,9741
44,88 14,9534
44 14,9317
43,12 14,909
42,24 14,8851
41,36 14,8599
40,48 14,8331
39,6 14,8047
38,72 14,7742
37,84 14,7413
36,96 14,7056
36,16 14,6702
35,44 14,6354
34,8 14,6017
34,16 14,5649
33,6 14,5296
33,04 14,4909
32,56 14,4544
32,08 14,4142
31,68 14,3773
31,28 14,3368
30,96 14,3013
30,64 14,2627
30,32 14,2202
30 14,1734
29,76 14,135
29,52 14,0934
29,28 14,0483
29,04 13,9992
28,8 13,9457
28,56 13,8875
28,32 13,8244
28,08 13,7562
27,84 13,6829
27,6 13,6048
27,36 13,5222
27,12 13,4358
26,88 13,3459
26,56 13,222
26,24 13,0945
25,84 12,9316
25,36 12,7327
24,72 12,4641
23,92 12,1249
23,12 11,7829
22,32 11,4384
21,52 11,0914
20,8 10,7768
20,08 10,4599
19,44 10,1761
18,8 9,89028
18,16 9,60222
17,6 9,34824
17,04 9,09235
16,48 8,83443
15,92 8,57436
15,44 8,34963
14,96 8,12313
14,48 7,89477
14 7,66444
13,6 7,47092
13,2 7,27588
12,8 7,07925
12,4 6,88096
12 6,68091
11,6 6,47903
11,28 6,31612
10,96 6,15193
10,64 5,98638
10,32 5,81942
10 5,65099
9,68 5,48102
9,36 5,30944
9,04 5,13617
8,8 5,00506
8,56 4,87292
8,32 4,7397
8,08 4,60538
7,84 4,46991
7,6 4,33324
7,36 4,19533
7,12 4,05612
6,88 3,91557
6,64 3,77362
6,4 3,63022
6,16 3,48529
6 3,3878
5,84 3,28959
5,68 3,19063
5,52 3,09091
5,36 2,9904
5,2 2,88908
5,04 2,78693
4,88 2,68393
4,72 2,58004
4,56 2,47524
4,4 2,36952
4,24 2,26284
4,08 2,15517
3,92 2,0465
3,76 1,9368
3,6 1,82604
3,44 1,7142
3,28 1,60127
3,12 1,48722
2,96 1,37207
2,88 1,31407
2,8 1,2558
2,72 1,19726
2,64 1,13845
2,56 1,07937
2,48 1,02005
2,4 0,960477
2,32 0,900679
2,24 0,840673
2,08 0,72014
1,84 0,538691
1,76 0,478318
1,68 0,418197
1,6 0,358519
1,52 0,299562
1,44 0,241744
1,36 0,185725
1,28 0,132602
1,2 0,0844508
1,12 0,0444901
1,04 0,0174981
0,96 0,00497276
0,88 0,00116112
0,8 0,000254095
0,72 5,48888e-005
0,64 1,18933e-005
0,56 2,59781e-006
0,48 5,68763e-007
0,4 1,18082e-007
0,32 1,80119e-008
0,24 1,30542e-009
0,16 9,91588e-011
0,08 3,90561e-011
1,351113665e-012 4,82567e-019
