80 15,5569
79,2 15,5494
78,32 15,5409
77,44 15,5325
76,56 15,524
75,68 15,5154
74,8 15,5067
73,92 15,498
73,04 15,4893
72,16 15,4804
71,28 15,4715
70,4 15,4625
69,52 15,4534
68,64 15,4443
67,76 15,4351
66,88 15,4258
66 15,4164
65,12 15,4069
64,24 15,3974
63,36 15,3877
62,48 15,3779
61,6 15,3681
60,72 15,3581
59,84 15,348
58,96 15,3378
58,08 15,3275
57,2 15,3171
56,32 15,3065
55,44 15,2958
54,56 15,285
53,68 15,274
52,8 15,2629
51,92 15,2516
51,04 15,2401
50,16 15,2284
49,28 15,2166
48,4 15,2046
47,52 15,1924
46,64 15,1799
45,76 15,1672
44,88 15,1543
44 15,1411
43,12 15,1276
42,24 15,1139
41,36 15,0998
40,48 15,0854
39,6 15,0707
38,72 15,0556
37,84 15,04
36,96 15,024
36,08 15,0076
35,2 14,9906
34,32 14,9731
33,44 14,9549
32,56 14,936
31,68 14,9164
30,8 14,896
29,92 14,8747
29,04 14,8523
28,16 14,8287
27,28 14,8038
26,4 14,7774
25,52 14,7491
24,64 14,7188
23,76 14,686
22,88 14,6502
22,08 14,6145
21,36 14,5792
20,72 14,5446
20,16 14,5114
19,6 14,4748
19,12 14,4402
18,72 14,4085
18,32 14,3736
17,92 14,3348
17,6 14,3004
17,28 14,2622
17,04 14,2306
16,8 14,1958
16,56 14,1573
16,32 14,1142
16,16 14,0824
16 14,0477
15,84 14,0094
15,68 13,9671
15,52 13,9198
15,36 13,8666
15,2 13,8062
15,04 13,7373
14,96 13,6991
14,88 13,6582
14,8 13,6144
14,72 13,5675
14,64 13,5173
14,56 13,4639
14,48 13,4072
14,4 13,3473
14,32 13,2843
14,16 13,1503
14 13,0076
13,84 12,8587
13,68 12,7056
13,44 12,4715
13,04 12,0761
12,16 11,201
11,28 10,3253
10,4 9,44996
9,52 8,57508
8,64 7,70074
7,76 6,82706
6,88 5,95424
6,08 5,16172
5,44 4,52857
4,88 3,97538
4,4 3,502
4 3,10823
3,68 2,79379
3,36 2,48
3,12 2,24519
2,88 2,01093
2,64 1,77736
2,48 1,62212
2,32 1,46734
2,16 1,31312
2 1,15959
1,92 1,08314
1,84 1,00694
1,76 0,931017
1,68 0,855423
1,6 0,780211
1,52 0,705451
1,44 0,631234
1,36 0,557679
1,28 0,484947
1,2 0,413267
1,12 0,342964
1,04 0,274533
0,96 0,20876
0,88 0,146961
0,8 0,091712
0,72 0,0468262
0,64 0,0177242
0,56 0,00494156
0,48 0,00116205
0,4 0,000245419
0,32 3,75881e-005
0,24 2,72672e-006
0,16 2,07139e-007
0,08 8,1586e-008
1,351113665e-012 1,00796e-015
