80 15,5315
79,2 15,5234
78,32 15,5147
77,44 15,5059
76,56 15,497
75,68 15,488
74,8 15,479
73,92 15,4699
73,04 15,4607
72,16 15,4515
71,28 15,4422
70,4 15,4327
69,52 15,4232
68,64 15,4136
67,76 15,4039
66,88 15,3941
66 15,3841
65,12 15,3741
64,24 15,364
63,36 15,3537
62,48 15,3433
61,6 15,3328
60,72 15,3222
59,84 15,3114
58,96 15,3005
58,08 15,2894
57,2 15,2782
56,32 15,2667
55,44 15,2552
54,56 15,2434
53,68 15,2314
52,8 15,2193
51,92 15,2069
51,04 15,1943
50,16 15,1815
49,28 15,1684
48,4 15,155
47,52 15,1413
46,64 15,1274
45,76 15,1131
44,88 15,0985
44 15,0835
43,12 15,0681
42,24 15,0522
41,36 15,0359
40,48 15,0191
39,6 15,0018
38,72 14,9838
37,84 14,9652
36,96 14,9459
36,08 14,9257
35,2 14,9047
34,32 14,8827
33,44 14,8596
32,56 14,8352
31,68 14,8094
30,8 14,782
29,92 14,7526
29,04 14,7209
28,16 14,6865
27,36 14,6524
26,64 14,619
25,92 14,5823
25,28 14,5464
24,72 14,5118
24,24 14,4794
23,76 14,4438
23,36 14,4113
22,96 14,3756
22,56 14,3361
22,24 14,3011
21,92 14,2626
21,6 14,2196
21,36 14,184
21,12 14,1447
20,88 14,1013
20,64 14,0528
20,48 14,0172
20,32 13,9785
20,16 13,9364
20 13,8903
19,84 13,84
19,68 13,7847
19,52 13,7242
19,36 13,658
19,2 13,5859
19,04 13,508
18,88 13,4244
18,72 13,3358
18,56 13,2427
18,4 13,1459
18,16 12,9953
17,92 12,8401
17,6 12,6287
17,2 12,3602
16,72 12,0344
16,16 11,6511
15,6 11,265
15,04 10,8762
14,48 10,4846
14 10,1466
13,52 9,80644
13,04 9,46402
12,56 9,11924
12,08 8,77202
11,68 8,48073
11,28 8,18764
10,88 7,89268
10,48 7,59579
10,08 7,29691
9,68 6,99598
9,36 6,75372
9,04 6,51008
8,72 6,26501
8,4 6,01849
8,08 5,77049
7,76 5,52096
7,44 5,26987
7,12 5,01719
6,8 4,76289
6,56 4,57107
6,32 4,37831
6,08 4,18458
5,84 3,98989
5,6 3,79421
5,36 3,59755
5,12 3,39988
4,88 3,20122
4,64 3,00156
4,4 2,8009
4,16 2,59926
3,92 2,39666
3,68 2,19313
3,44 1,98873
3,2 1,78352
2,96 1,57763
2,72 1,37121
2,4 1,09565
2,24 0,958017
2,08 0,820756
2 0,752365
1,92 0,684208
1,84 0,61636
1,76 0,548918
1,68 0,482012
1,6 0,415822
1,52 0,3506
1,44 0,286719
1,36 0,224751
1,28 0,165628
1,2 0,111081
1,12 0,0638299
1,04 0,0285643
0,96 0,00917865
0,88 0,00227217
0,8 0,000505499
0,72 0,000109578
0,64 2,37695e-005
0,56 5,19288e-006
0,48 1,13697e-006
0,4 2,36051e-007
0,32 3,60066e-008
0,24 2,60959e-009
0,16 1,98223e-010
0,08 7,80747e-011
1,351113665e-012 9,64496e-019
