0 1,16287e-030
0,24 1,50325e-008
0,48 1,82227e-008
0,72 2,31934e-008
0,96 3,28859e-008
1,2 4,93536e-008
1,44 7,88118e-008
1,68 1,33498e-007
1,92 2,37075e-007
2,16 4,35348e-007
2,4 8,16137e-007
2,64 1,54742e-006
2,88 2,94932e-006
3,12 5,6296e-006
3,36 1,07379e-005
3,6 2,04413e-005
3,84 3,88099e-005
4,08 7,34629e-005
4,32 0,000138615
4,56 0,000260698
4,8 0,000488711
5,04 0,000913191
5,28 0,00170093
5,52 0,00315829
5,76 0,0058463
6 0,0107894
6,24 0,0198526
6,48 0,0364213
6,72 0,0666202
6,96 0,121489
7,2 0,220837
7,44 0,399987
7,68 0,721356
7,92 1,29365
8,16 2,30164
8,4 4,04658
8,64 6,9843
8,88 8,81911
9,12 9,08016
9,36 9,32951
9,84 9,81128
10,56 10,5349
12,24 12,2174
14,88 14,8582
17,52 17,4982
20,16 20,138
22,8 22,7777
25,44 25,4174
28,08 28,0571
30,72 30,6967
33,36 33,3364
36 35,976
38,64 38,6157
41,28 41,2554
43,92 43,8951
46,32 46,2929
47,04 47,0087
47,52 47,4773
47,76 47,6935
48 47,7276
50,64 47,6563
53,28 47,5866
55,92 47,5198
58,56 47,4556
61,2 47,3941
63,84 47,335
66,48 47,2782
69,12 47,2237
71,76 47,1713
74,4 47,1209
77,04 47,0724
79,68 47,0257
82,32 46,9807
84,96 46,9373
87,6 46,8955
90,24 46,8552
92,88 46,8163
95,52 46,7788
98,16 46,7425
100,8 46,7074
103,44 46,6735
106,08 46,6407
108,72 46,609
111,36 46,5782
114 46,5485
116,64 46,5196
119,28 46,4917
121,92 46,4646
124,56 46,4383
127,2 46,4128
129,84 46,388
132,48 46,3639
135,12 46,3406
137,76 46,3178
140,4 46,2958
143,04 46,2743
145,68 46,2534
148,32 46,2331
150,96 46,2133
153,6 46,194
156,24 46,1753
158,88 46,157
161,52 46,1392
164,16 46,1218
166,8 46,1049
169,44 46,0884
172,08 46,0723
174,72 46,0566
177,36 46,0412
180 46,0262
182,64 46,0116
185,28 45,9973
187,92 45,9834
190,56 45,9697
193,2 45,9564
195,84 45,9434
198,48 45,9306
201,12 45,9182
203,76 45,906
206,4 45,894
209,04 45,8824
211,68 45,8709
214,32 45,8597
216,96 45,8488
219,6 45,8381
222,24 45,8275
224,88 45,8172
227,52 45,8072
230,16 45,7973
232,8 45,7876
235,44 45,7781
238,08 45,7687
239,76 45,7629
