0 2,72938e-030
0,24 1,50828e-010
0,48 1,82838e-010
0,72 2,32711e-010
0,96 3,29961e-010
1,2 4,95189e-010
1,44 7,90758e-010
1,68 1,33945e-009
1,92 2,3787e-009
2,16 4,36807e-009
2,4 8,18871e-009
2,64 1,5526e-008
2,88 2,9592e-008
3,12 5,64847e-008
3,36 1,07739e-007
3,6 2,05098e-007
3,84 3,894e-007
4,08 7,37091e-007
4,32 1,39079e-006
4,56 2,61573e-006
4,8 4,9035e-006
5,04 9,16259e-006
5,28 1,70666e-005
5,52 3,16897e-005
5,76 5,86621e-005
6 0,000108266
6,24 0,000199228
6,48 0,000365558
6,72 0,000668849
6,96 0,00122034
7,2 0,00222032
7,44 0,00402819
7,68 0,00728629
7,92 0,0131365
8,16 0,0235933
8,4 0,0421687
8,64 0,074871
8,88 0,13166
9,12 0,22821
9,36 0,387158
9,6 0,636996
9,84 1,00649
10,08 1,51531
10,32 2,1661
10,56 2,9439
10,8 3,8225
11,04 4,77267
11,28 5,76801
11,52 6,78732
11,76 7,81473
12 8,83887
12,24 9,8519
12,48 10,8486
12,72 11,8257
12,96 12,6627
13,2 12,9427
13,44 13,2034
13,68 13,4464
13,92 13,6805
14,88 14,6452
15,84 15,605
17,52 17,2786
20,16 19,9027
22,8 22,5237
25,44 25,1433
28,08 27,7621
30,72 30,3805
33,36 32,9986
36 35,6156
38,64 38,2302
41,28 40,8446
43,92 43,4589
44,64 44,1669
45,36 44,8617
45,84 45,3077
46,08 45,5008
46,32 45,5326
46,56 45,5074
49,2 45,5515
51,84 45,5892
54,48 45,6218
57,12 45,6498
59,76 45,6739
62,4 45,6945
65,04 45,7121
67,68 45,7268
70,32 45,7392
72,96 45,7494
75,6 45,7576
78,24 45,7641
80,88 45,7691
83,52 45,7728
86,16 45,7752
88,8 45,7765
91,44 45,7769
94,08 45,7764
96,72 45,7752
99,36 45,7732
102 45,7707
104,64 45,7676
107,28 45,764
109,92 45,76
112,56 45,7557
115,2 45,751
117,84 45,746
120,48 45,7407
123,12 45,7353
125,76 45,7297
128,4 45,7238
131,04 45,7179
133,68 45,7118
136,32 45,7057
138,96 45,6994
141,6 45,6931
144,24 45,6868
146,88 45,6804
149,52 45,6739
152,16 45,6675
154,8 45,661
157,44 45,6546
160,08 45,6481
162,72 45,6417
165,36 45,6353
168 45,6289
170,64 45,6226
173,28 45,6162
175,92 45,61
178,56 45,6037
181,2 45,5976
183,84 45,5914
186,48 45,5853
189,12 45,5793
191,76 45,5733
194,4 45,5674
197,04 45,5615
199,68 45,5557
202,32 45,55
204,96 45,5443
207,6 45,5387
210,24 45,5331
212,88 45,5276
215,52 45,5222
218,16 45,5168
220,8 45,5115
223,44 45,5062
226,08 45,501
228,72 45,4959
231,36 45,4908
234 45,4858
236,64 45,4808
239,28 45,476
239,76 45,4751
