0 8,49651e-026
0,08 1,3796e-008
0,16 5,16606e-008
0,24 1,50395e-007
0,32 5,94621e-007
0,4 2,60563e-006
0,48 1,19103e-005
0,56 5,47772e-005
0,64 0,000252533
0,72 0,001153
0,8 0,00498844
0,88 0,0180861
0,96 0,0477098
1,04 0,0930318
1,12 0,148693
1,2 0,210608
1,28 0,276338
1,36 0,344879
1,44 0,415257
1,52 0,486974
1,6 0,559723
1,68 0,633287
1,76 0,707505
1,84 0,782261
1,92 0,857465
2 0,933048
2,08 1,00896
2,16 1,08515
2,32 1,23823
2,48 1,39209
2,64 1,54656
2,8 1,70154
3,04 1,93477
3,28 2,16875
3,52 2,40332
3,84 2,71683
4,24 3,10966
4,72 3,58213
5,12 3,9764
5,2 4,05493
5,28 4,13237
5,36 4,20611
5,44 4,27079
5,52 4,32195
5,6 4,35975
5,68 4,38779
5,76 4,41002
5,84 4,42861
5,92 4,44452
6 4,45841
6,08 4,47074
6,16 4,48185
6,32 4,50126
6,48 4,51787
6,64 4,53242
6,8 4,5454
6,96 4,55712
7,2 4,57285
7,44 4,58682
7,68 4,59941
7,92 4,61088
8,24 4,62477
8,56 4,63735
8,96 4,6516
9,36 4,66452
9,76 4,67636
10,24 4,6894
10,8 4,70329
11,36 4,71601
12 4,72939
12,72 4,74322
13,52 4,75734
14,4 4,77164
15,28 4,78487
16,16 4,79722
17,04 4,80883
17,92 4,81979
18,8 4,83019
19,68 4,84012
20,56 4,84961
21,44 4,85872
22,32 4,86749
23,2 4,87596
24,08 4,88415
24,96 4,89208
25,84 4,89979
26,72 4,90729
27,6 4,9146
28,48 4,92173
29,36 4,92869
30,24 4,9355
31,12 4,94217
32 4,94871
32,88 4,95513
33,76 4,96144
34,64 4,96763
35,52 4,97373
36,4 4,97973
37,28 4,98564
38,16 4,99147
39,04 4,99722
39,92 5,0029
40,8 5,00851
41,68 5,01405
42,56 5,01953
43,44 5,02495
44,32 5,03031
45,2 5,03562
46,08 5,04089
46,96 5,0461
47,84 5,05127
48,72 5,0564
49,6 5,06149
50,48 5,06654
51,36 5,07156
52,24 5,07654
53,12 5,08149
54 5,08641
54,88 5,0913
55,76 5,09616
56,64 5,10101
57,52 5,10582
58,4 5,11062
59,28 5,1154
60,16 5,12015
61,04 5,12489
61,92 5,12962
62,8 5,13433
63,68 5,13903
64,56 5,14371
65,44 5,14839
66,32 5,15306
67,2 5,15772
68,08 5,16237
68,96 5,16702
69,84 5,17167
70,72 5,17631
71,6 5,18095
72,48 5,18559
73,36 5,19024
74,24 5,19489
75,12 5,19954
76 5,2042
76,88 5,20887
77,76 5,21355
78,64 5,21824
79,52 5,22295
80 5,22552
