0 4,64253e-024
0,08 3,50686e-011
0,16 1,31319e-010
0,24 3,82298e-010
0,32 1,51151e-009
0,4 6,62369e-009
0,48 3,02821e-008
0,56 1,39386e-007
0,64 6,45034e-007
0,72 2,99636e-006
0,8 1,39543e-005
0,88 6,5051e-005
0,96 0,000302297
1,04 0,00137834
1,12 0,0058262
1,2 0,0199097
1,28 0,0491017
1,36 0,0915178
1,44 0,142513
1,52 0,198588
1,6 0,258311
1,68 0,320259
1,76 0,383744
1,84 0,448362
1,92 0,513827
2 0,579933
2,08 0,646531
2,16 0,713509
2,24 0,780781
2,32 0,848278
2,48 0,98374
2,72 1,18755
3,04 1,45941
3,28 1,66283
3,44 1,79805
3,6 1,93289
3,76 2,06728
3,92 2,20119
4,08 2,33458
4,24 2,46741
4,4 2,59966
4,56 2,73131
4,72 2,86233
4,88 2,99271
5,04 3,12243
5,2 3,25147
5,36 3,37983
5,6 3,57107
5,84 3,76072
6,08 3,94875
6,24 4,07306
6,32 4,13467
6,4 4,19541
6,48 4,25407
6,56 4,30815
6,64 4,35448
6,72 4,39149
6,8 4,42007
6,88 4,44244
6,96 4,46064
7,04 4,47594
7,12 4,4891
7,2 4,50065
7,28 4,51095
7,44 4,52874
7,6 4,54382
7,76 4,55697
7,92 4,56866
8,08 4,57921
8,32 4,59338
8,56 4,606
8,8 4,61741
9,12 4,63114
9,44 4,64352
9,84 4,6575
10,24 4,67015
10,72 4,68395
11,2 4,69652
11,76 4,70994
12,32 4,72226
12,96 4,73524
13,68 4,74868
14,48 4,76245
15,36 4,77642
16,24 4,78938
17,12 4,80149
18 4,81289
18,88 4,82367
19,76 4,83392
20,64 4,8437
21,52 4,85307
22,4 4,86207
23,28 4,87074
24,16 4,87912
25,04 4,88722
25,92 4,89508
26,8 4,90272
27,68 4,91016
28,56 4,9174
29,44 4,92448
30,32 4,93139
31,2 4,93815
32,08 4,94478
32,96 4,95128
33,84 4,95766
34,72 4,96392
35,6 4,97008
36,48 4,97614
37,36 4,98211
38,24 4,988
39,12 4,9938
40 4,99952
40,88 5,00518
41,76 5,01076
42,64 5,01628
43,52 5,02173
44,4 5,02713
45,28 5,03248
46,16 5,03777
47,04 5,04301
47,92 5,04821
48,8 5,05337
49,68 5,05848
50,56 5,06355
51,44 5,06859
52,32 5,07359
53,2 5,07856
54,08 5,08349
54,96 5,0884
55,84 5,09328
56,72 5,09814
57,6 5,10297
58,48 5,10778
59,36 5,11256
60,24 5,11733
61,12 5,12208
62 5,12681
62,88 5,13153
63,76 5,13623
64,64 5,14093
65,52 5,14561
66,4 5,15028
67,28 5,15494
68,16 5,15959
69,04 5,16424
69,92 5,16889
70,8 5,17353
71,68 5,17817
72,56 5,18281
73,44 5,18746
74,32 5,1921
75,2 5,19675
76,08 5,2014
76,96 5,20607
77,84 5,21074
78,72 5,21542
79,6 5,22011
80 5,22225
