0 1,22327e-026
0,08 6,99595e-011
0,16 2,61971e-010
0,24 7,62657e-010
0,32 3,01536e-009
0,4 1,32138e-008
0,48 6,04107e-008
0,56 2,78065e-007
0,64 1,28678e-006
0,72 5,97718e-006
0,8 2,78303e-005
0,88 0,000129611
0,96 0,000599605
1,04 0,00268075
1,12 0,0106153
1,2 0,0318821
1,28 0,0691048
1,36 0,118109
1,44 0,174401
1,52 0,23508
1,6 0,298957
1,68 0,364874
1,76 0,432252
1,84 0,500741
1,92 0,570094
2 0,640131
2,08 0,710718
2,16 0,781758
2,24 0,853172
2,32 0,9249
2,4 0,996893
2,56 1,14153
2,72 1,28683
2,88 1,43263
3,12 1,65199
3,44 1,94529
4,32 2,75348
4,8 3,19402
5,2 3,56051
5,6 3,92621
5,76 4,07196
5,84 4,14411
5,92 4,21422
6 4,27871
6,08 4,3326
6,16 4,37379
6,24 4,40409
6,32 4,42717
6,4 4,44589
6,48 4,46166
6,56 4,47525
6,64 4,48718
6,72 4,49785
6,88 4,51632
7,04 4,53203
7,2 4,54574
7,36 4,55795
7,52 4,56897
7,76 4,58378
8 4,59696
8,24 4,60886
8,56 4,62316
8,88 4,63603
9,2 4,64776
9,6 4,66111
10 4,67329
10,48 4,68665
10,96 4,69888
11,52 4,71199
12,16 4,72571
12,8 4,73834
13,52 4,75147
14,32 4,76494
15,2 4,77866
16,08 4,79141
16,96 4,80334
17,84 4,81459
18,72 4,82525
19,6 4,83538
20,48 4,84506
21,36 4,85434
22,24 4,86326
23,12 4,87186
24 4,88017
24,88 4,88822
25,76 4,89603
26,64 4,90362
27,52 4,91101
28,4 4,91821
29,28 4,92525
30,16 4,93213
31,04 4,93886
31,92 4,94545
32,8 4,95192
33,68 4,95827
34,56 4,96451
35,44 4,97065
36,32 4,97669
37,2 4,98264
38,08 4,9885
38,96 4,99428
39,84 4,99999
40,72 5,00562
41,6 5,01119
42,48 5,01669
43,36 5,02213
44,24 5,02752
45,12 5,03285
46 5,03813
46,88 5,04336
47,76 5,04855
48,64 5,05369
49,52 5,05879
50,4 5,06385
51,28 5,06888
52,16 5,07387
53,04 5,07883
53,92 5,08376
54,8 5,08866
55,68 5,09353
56,56 5,09838
57,44 5,1032
58,32 5,108
59,2 5,11278
60,08 5,11754
60,96 5,12228
61,84 5,12701
62,72 5,13172
63,6 5,13642
64,48 5,1411
65,36 5,14578
66,24 5,15044
67,12 5,1551
68 5,15975
68,88 5,1644
69,76 5,16904
70,64 5,17367
71,52 5,17831
72,4 5,18295
73,28 5,18759
74,16 5,19223
75,04 5,19687
75,92 5,20152
76,8 5,20618
77,68 5,21085
78,56 5,21553
79,44 5,22022
80 5,22321
