0 7,47545e-030
0,06 1,3637e-009
0,12 1,51289e-008
0,18 1,55066e-007
0,24 1,57848e-006
0,3 1,60425e-005
0,36 0,00016143
0,42 0,00148659
0,48 0,00874926
0,54 0,0254211
0,6 0,0478278
0,66 0,073065
0,72 0,0997002
0,78 0,127332
0,84 0,155545
0,9 0,184157
0,96 0,213072
1,02 0,242222
1,08 0,271559
1,14 0,301048
1,2 0,330661
1,26 0,36038
1,38 0,420075
1,5 0,480043
1,62 0,540225
1,74 0,600577
1,92 0,691365
2,1 0,7824
2,34 0,904085
2,58 1,02605
2,88 1,17881
3,24 1,3625
3,66 1,57721
4,14 1,82304
4,68 2,10007
5,34 2,43924
6 2,77897
6,66 3,1192
7,32 3,45989
7,98 3,80101
8,64 4,14255
9,3 4,48448
9,96 4,82679
10,62 5,16948
11,28 5,51247
11,76 5,76169
12 5,88559
12,18 5,9775
12,3 6,03779
12,42 6,09677
12,54 6,15379
12,66 6,20806
12,78 6,25873
12,9 6,30512
13,02 6,34684
13,14 6,38389
13,26 6,41657
13,38 6,44535
13,5 6,47077
13,62 6,49334
13,74 6,51349
13,86 6,53161
13,98 6,54801
14,16 6,56994
14,34 6,58927
14,52 6,60649
14,7 6,62199
14,94 6,6405
15,18 6,657
15,42 6,67188
15,72 6,68863
16,02 6,7037
16,38 6,72
16,74 6,73473
17,16 6,7503
17,64 6,76637
18,18 6,78268
18,78 6,79905
19,44 6,81536
20,1 6,83022
20,76 6,8439
21,42 6,8566
22,08 6,86847
22,74 6,87963
23,4 6,89018
24,06 6,9002
24,72 6,90974
25,38 6,91886
26,04 6,92761
26,7 6,93603
27,36 6,94415
28,02 6,95199
28,68 6,95958
29,34 6,96694
30 6,9741
30,66 6,98106
31,32 6,98784
31,98 6,99446
32,64 7,00093
33,3 7,00725
33,96 7,01344
34,62 7,01951
35,28 7,02546
35,94 7,0313
36,6 7,03704
37,26 7,04268
37,92 7,04823
38,58 7,0537
39,24 7,05908
39,9 7,06439
40,56 7,06962
41,22 7,07478
41,88 7,07988
42,54 7,08492
43,2 7,08989
43,86 7,09481
44,52 7,09968
45,18 7,10449
45,84 7,10925
46,5 7,11397
47,16 7,11864
47,82 7,12327
48,48 7,12786
49,14 7,1324
49,8 7,13691
50,46 7,14138
51,12 7,14582
51,78 7,15022
52,44 7,15459
53,1 7,15893
53,76 7,16324
54,42 7,16752
55,08 7,17177
55,74 7,17599
56,4 7,18019
57,06 7,18436
57,72 7,18851
58,38 7,19264
59,04 7,19674
59,7 7,20082
59,94 7,2023
