0 4,99105e-024
0,06 3,28378e-008
0,12 3,64298e-007
0,18 3,73345e-006
0,24 3,79561e-005
0,3 0,000380864
0,36 0,00342849
0,42 0,0187862
0,48 0,0514751
0,54 0,0941399
0,6 0,141732
0,66 0,191806
0,72 0,243651
0,78 0,296538
0,84 0,350147
0,9 0,404305
0,96 0,458889
1,02 0,51381
1,08 0,569004
1,14 0,624425
1,2 0,680035
1,32 0,791716
1,44 0,903885
1,56 1,01643
1,68 1,12928
1,86 1,29899
2,04 1,46913
2,28 1,69648
2,58 1,98129
2,94 2,32372
3,36 2,7239
3,9 3,2392
4,56 3,86985
5,22 4,50117
5,88 5,13297
6,36 5,59245
6,54 5,76403
6,66 5,87725
6,78 5,98791
6,84 6,04139
6,9 6,09294
6,96 6,14189
7,02 6,18762
7,08 6,22962
7,14 6,26765
7,2 6,3017
7,26 6,33203
7,32 6,35899
7,38 6,383
7,44 6,40446
7,5 6,42374
7,56 6,44117
7,62 6,457
7,74 6,48474
7,86 6,50838
7,98 6,52887
8,1 6,5469
8,22 6,56296
8,34 6,57743
8,52 6,59674
8,7 6,61375
8,88 6,62894
9,12 6,64696
9,36 6,66295
9,6 6,67732
9,9 6,69347
10,2 6,70799
10,56 6,72369
10,98 6,74011
11,4 6,7549
11,88 6,77021
12,42 6,78578
13,02 6,80146
13,68 6,8171
14,34 6,8314
15 6,84459
15,66 6,85686
16,32 6,86834
16,98 6,87915
17,64 6,88938
18,3 6,89911
18,96 6,90838
19,62 6,91726
20,28 6,92578
20,94 6,93398
21,6 6,94189
22,26 6,94954
22,92 6,95695
23,58 6,96415
24,24 6,97114
24,9 6,97794
25,56 6,98458
26,22 6,99105
26,88 6,99738
27,54 7,00357
28,2 7,00963
28,86 7,01558
29,52 7,02141
30,18 7,02713
30,84 7,03276
31,5 7,03829
32,16 7,04374
32,82 7,0491
33,48 7,05438
34,14 7,05959
34,8 7,06472
35,46 7,06979
36,12 7,0748
36,78 7,07974
37,44 7,08463
38,1 7,08946
38,76 7,09424
39,42 7,09897
40,08 7,10365
40,74 7,10829
41,4 7,11288
42,06 7,11743
42,72 7,12193
43,38 7,1264
44,04 7,13084
44,7 7,13523
45,36 7,1396
46,02 7,14393
46,68 7,14822
47,34 7,15249
48 7,15673
48,66 7,16094
49,32 7,16512
49,98 7,16928
50,64 7,17341
51,3 7,17751
51,96 7,1816
52,62 7,18566
53,28 7,18969
53,94 7,19371
54,6 7,19771
55,26 7,20168
55,92 7,20564
56,58 7,20958
57,24 7,2135
57,9 7,2174
58,56 7,22129
59,22 7,22516
59,88 7,22901
59,94 7,22936
