0 1,43766e-029
0,06 2,61866e-009
0,12 2,90514e-008
0,18 2,97764e-007
0,24 3,03091e-006
0,3 3,07881e-005
0,36 0,000308225
0,42 0,0027275
0,48 0,014262
0,54 0,0376437
0,6 0,0676597
0,66 0,100953
0,72 0,13592
0,78 0,172081
0,84 0,208952
0,9 0,246318
0,96 0,28406
1,02 0,322096
1,08 0,360364
1,14 0,398821
1,2 0,437435
1,26 0,476182
1,38 0,553997
1,5 0,632153
1,62 0,710576
1,74 0,789212
1,92 0,907484
2,1 1,02606
2,34 1,18453
2,58 1,34334
2,88 1,5422
3,24 1,78127
3,66 2,06063
4,2 2,42037
4,86 2,86073
5,52 3,30167
6,18 3,7431
6,84 4,18495
7,5 4,62718
8,16 5,06973
8,82 5,51251
9,18 5,75358
9,36 5,87325
9,48 5,95209
9,6 6,02941
9,72 6,1041
9,78 6,13998
9,84 6,17458
9,9 6,20768
9,96 6,23908
10,02 6,26863
10,08 6,29622
10,14 6,32185
10,2 6,34555
10,26 6,3674
10,32 6,38753
10,38 6,40608
10,44 6,42318
10,56 6,45362
10,68 6,47985
10,8 6,50272
10,92 6,52286
11,04 6,5408
11,16 6,55692
11,34 6,57835
11,52 6,59713
11,7 6,61382
11,88 6,62883
12,12 6,64672
12,36 6,66267
12,6 6,67706
12,9 6,69326
13,2 6,70786
13,56 6,72367
13,98 6,74022
14,4 6,75515
14,88 6,7706
15,42 6,78633
16,02 6,80216
16,68 6,81797
17,34 6,83241
18 6,84573
18,66 6,85812
19,32 6,86972
19,98 6,88064
20,64 6,89097
21,3 6,90078
21,96 6,91014
22,62 6,9191
23,28 6,9277
23,94 6,93598
24,6 6,94396
25,26 6,95168
25,92 6,95915
26,58 6,9664
27,24 6,97346
27,9 6,98032
28,56 6,98701
29,22 6,99354
29,88 6,99992
30,54 7,00616
31,2 7,01228
31,86 7,01827
32,52 7,02415
33,18 7,02992
33,84 7,03559
34,5 7,04116
35,16 7,04665
35,82 7,05206
36,48 7,05738
37,14 7,06263
37,8 7,06781
38,46 7,07292
39,12 7,07796
39,78 7,08294
40,44 7,08787
41,1 7,09274
41,76 7,09755
42,42 7,10232
43,08 7,10704
43,74 7,11171
44,4 7,11633
45,06 7,12091
45,72 7,12546
46,38 7,12996
47,04 7,13443
47,7 7,13886
48,36 7,14325
49,02 7,14761
49,68 7,15194
50,34 7,15624
51 7,16051
51,66 7,16475
52,32 7,16897
52,98 7,17315
53,64 7,17731
54,3 7,18145
54,96 7,18556
55,62 7,18965
56,28 7,19372
56,94 7,19776
57,6 7,20179
58,26 7,2058
58,92 7,20978
59,58 7,21375
59,94 7,2159
