0 2,58314e-029
0,054 7,4932e-011
0,108 3,15017e-010
0,162 5,55316e-010
0,216 8,80578e-010
0,27 1,83177e-009
0,324 4,58626e-009
0,378 1,24361e-008
0,432 3,4723e-008
0,486 9,80874e-008
0,54 2,78072e-007
0,594 7,89391e-007
0,648 2,24201e-006
0,702 6,3685e-006
0,756 1,80885e-005
0,81 5,13564e-005
0,864 0,000145638
0,918 0,000411621
0,972 0,00115261
1,026 0,00314872
1,08 0,00812098
1,134 0,0187504
1,188 0,0371799
1,242 0,063367
1,296 0,0957327
1,35 0,132562
1,404 0,172486
1,458 0,214791
1,512 0,258778
1,566 0,304035
1,62 0,350287
1,674 0,397333
1,728 0,445026
1,782 0,493252
1,836 0,541927
1,89 0,590981
1,944 0,640362
1,998 0,690025
2,052 0,739935
2,106 0,790063
2,16 0,840384
2,268 0,941525
2,376 1,04323
2,484 1,14539
2,592 1,24793
2,7 1,3508
2,862 1,50562
3,024 1,66095
3,24 1,8687
3,456 2,07702
3,726 2,33808
4,05 2,65208
4,428 3,01919
4,914 3,49207
5,508 4,07095
6,102 4,65047
6,696 5,23037
7,29 5,81043
7,884 6,39026
8,262 6,75843
8,532 7,02002
8,748 7,22754
8,964 7,43283
9,18 7,63565
9,396 7,83622
9,666 8,08435
9,936 8,33033
10,26 8,62339
10,638 8,96314
11,07 9,34925
11,556 9,78143
12,042 10,2115
12,366 10,4966
12,582 10,6851
12,744 10,8247
12,906 10,9613
13,014 11,0491
13,122 11,1322
13,176 11,1708
13,23 11,2062
13,284 11,2369
13,338 11,2614
13,392 11,2804
13,5 11,3113
13,608 11,3385
13,77 11,3748
13,932 11,4068
14,094 11,4353
14,256 11,461
14,472 11,4917
14,688 11,5191
14,958 11,5497
15,228 11,577
15,552 11,6063
15,876 11,6326
16,254 11,6603
16,686 11,6887
17,172 11,7176
17,712 11,7464
18,306 11,7751
18,9 11,8013
19,494 11,8255
20,088 11,8479
20,682 11,869
21,276 11,8889
21,87 11,9077
22,464 11,9257
23,058 11,9429
23,652 11,9594
24,246 11,9753
24,84 11,9907
25,434 12,0056
26,028 12,0201
26,622 12,0342
27,216 12,048
27,81 12,0615
28,404 12,0746
28,998 12,0876
29,592 12,1003
30,186 12,1128
30,78 12,1251
31,374 12,1372
31,968 12,1492
32,562 12,161
33,156 12,1727
33,75 12,1842
34,344 12,1957
34,938 12,207
35,532 12,2183
36,126 12,2294
36,72 12,2405
37,314 12,2515
37,908 12,2625
38,502 12,2734
39,096 12,2842
39,69 12,295
40,284 12,3058
40,878 12,3165
41,472 12,3272
42,066 12,3378
42,66 12,3485
43,254 12,3591
43,848 12,3697
44,442 12,3803
45,036 12,3908
45,63 12,4014
46,224 12,4119
46,818 12,4225
47,412 12,433
48,006 12,4436
48,6 12,4541
49,194 12,4647
49,788 12,4752
50,382 12,4858
50,976 12,4964
51,57 12,507
52,164 12,5176
52,758 12,5283
53,352 12,5389
53,946 12,5496
