0 1,34274e-030
0,054 4,44596e-010
0,108 1,8691e-009
0,162 3,29487e-009
0,216 5,22477e-009
0,27 1,08685e-008
0,324 2,72118e-008
0,378 7,37876e-008
0,432 2,06022e-007
0,486 5,8198e-007
0,54 1,64985e-006
0,594 4,68337e-006
0,648 1,32997e-005
0,702 3,77635e-005
0,756 0,00010714
0,81 0,000303234
0,864 0,00085237
0,918 0,00235196
0,972 0,00619704
1,026 0,0148931
1,08 0,0309835
1,134 0,0551379
1,188 0,0860642
1,242 0,121975
1,296 0,161333
1,35 0,203348
1,404 0,247215
1,458 0,292468
1,512 0,338799
1,566 0,385987
1,62 0,433868
1,674 0,48232
1,728 0,531248
1,782 0,580581
1,836 0,630258
1,89 0,680235
1,944 0,730473
1,998 0,78094
2,052 0,83161
2,16 0,933477
2,268 1,03593
2,376 1,13887
2,484 1,24222
2,592 1,34591
2,754 1,502
2,916 1,65862
3,078 1,8157
3,294 2,02571
3,51 2,23626
3,78 2,50008
4,104 2,8174
4,482 3,18841
4,914 3,61326
5,454 4,1453
6,048 4,73151
6,642 5,31851
7,236 5,90612
7,83 6,49424
8,424 7,08277
9,018 7,67165
9,612 8,26082
10,206 8,85025
10,8 9,43985
11,34 9,97537
11,61 10,2415
11,772 10,3991
11,88 10,5022
11,988 10,6029
12,096 10,6997
12,204 10,7913
12,312 10,876
12,42 10,9528
12,528 11,0213
12,636 11,0816
12,744 11,1345
12,852 11,1809
12,96 11,2218
13,068 11,2581
13,176 11,2905
13,284 11,3197
13,392 11,3462
13,554 11,3816
13,716 11,4128
13,878 11,4408
14,04 11,466
14,256 11,4961
14,472 11,523
14,742 11,5531
15,012 11,5801
15,336 11,609
15,66 11,635
16,038 11,6624
16,47 11,6906
16,956 11,7192
17,496 11,7478
18,09 11,7764
18,684 11,8024
19,278 11,8264
19,872 11,8488
20,466 11,8698
21,06 11,8895
21,654 11,9083
22,248 11,9262
22,842 11,9433
23,436 11,9598
24,03 11,9757
24,624 11,991
25,218 12,0059
25,812 12,0204
26,406 12,0345
27 12,0482
27,594 12,0617
28,188 12,0749
28,782 12,0878
29,376 12,1005
29,97 12,1129
30,564 12,1252
31,158 12,1373
31,752 12,1493
32,346 12,1611
32,94 12,1728
33,534 12,1843
34,128 12,1957
34,722 12,2071
35,316 12,2183
35,91 12,2295
36,504 12,2406
37,098 12,2516
37,692 12,2625
38,286 12,2734
38,88 12,2843
39,474 12,2951
40,068 12,3058
40,662 12,3165
41,256 12,3272
41,85 12,3379
42,444 12,3485
43,038 12,3591
43,632 12,3697
44,226 12,3803
44,82 12,3908
45,414 12,4014
46,008 12,4119
46,602 12,4225
47,196 12,433
47,79 12,4436
48,384 12,4541
48,978 12,4647
49,572 12,4752
50,166 12,4858
50,76 12,4964
51,354 12,507
51,948 12,5176
52,542 12,5283
53,136 12,5389
53,73 12,5496
53,946 12,5535
