0 1,58372e-032
0,054 4,09138e-011
0,108 1,72003e-010
0,162 3,03209e-010
0,216 4,80807e-010
0,27 1,00017e-009
0,324 2,50415e-009
0,378 6,79028e-009
0,432 1,89592e-008
0,486 5,35569e-008
0,54 1,51831e-007
0,594 4,3102e-007
0,648 1,22419e-006
0,702 3,47748e-006
0,756 9,87811e-006
0,81 2,80539e-005
0,864 7,96216e-005
0,918 0,000225561
0,972 0,000635678
1,026 0,00176615
1,08 0,004731
1,134 0,0117226
1,188 0,0254347
1,242 0,0471503
1,296 0,0759867
1,35 0,11019
1,404 0,148115
1,458 0,1889
1,512 0,231657
1,566 0,275878
1,62 0,321229
1,674 0,367472
1,728 0,414431
1,782 0,461976
1,836 0,510008
1,89 0,558449
1,944 0,607238
1,998 0,656327
2,052 0,705675
2,106 0,755251
2,16 0,805027
2,268 0,905091
2,376 1,00572
2,484 1,10681
2,592 1,20828
2,7 1,31007
2,862 1,46323
3,024 1,61687
3,24 1,82227
3,51 2,07969
3,834 2,38927
4,374 2,90615
4,86 3,3716
5,076 3,57808
5,238 3,73215
5,346 3,83396
5,454 3,93453
5,562 4,03344
5,67 4,13054
5,778 4,22593
5,886 4,31986
5,994 4,41262
6,156 4,55004
6,318 4,68589
6,48 4,82055
6,696 4,99864
6,912 5,17541
7,182 5,39484
7,452 5,61283
7,776 5,87276
8,1 6,13109
8,424 6,38795
8,802 6,6859
9,18 6,98211
9,558 7,27669
9,99 7,61145
10,422 7,94427
10,854 8,27524
11,286 8,60442
11,772 8,97271
12,258 9,33891
12,744 9,7031
13,284 10,1054
13,77 10,4653
14,094 10,7034
14,364 10,8997
14,58 11,0538
14,742 11,1663
14,85 11,239
14,958 11,3092
15,066 11,376
15,174 11,4384
15,282 11,4947
15,336 11,5193
15,39 11,5401
15,444 11,5549
15,498 11,5633
15,714 11,5849
16,038 11,6135
16,362 11,6394
16,74 11,6666
17,172 11,6947
17,658 11,7231
18,198 11,7517
18,792 11,7802
19,386 11,8062
19,98 11,8302
20,574 11,8526
21,168 11,8736
21,762 11,8934
22,356 11,9121
22,95 11,9301
23,544 11,9472
24,138 11,9637
24,732 11,9796
25,326 11,995
25,92 12,0099
26,514 12,0244
27,108 12,0385
27,702 12,0523
28,296 12,0657
28,89 12,0789
29,484 12,0919
30,078 12,1046
30,672 12,1171
31,266 12,1294
31,86 12,1415
32,454 12,1535
33,048 12,1654
33,642 12,1771
34,236 12,1886
34,83 12,2001
35,424 12,2115
36,018 12,2227
36,612 12,2339
37,206 12,245
37,8 12,2561
38,394 12,2671
38,988 12,278
39,582 12,2889
40,176 12,2997
40,77 12,3105
41,364 12,3212
41,958 12,3319
42,552 12,3426
43,146 12,3533
43,74 12,3639
44,334 12,3745
44,928 12,3851
45,522 12,3957
46,116 12,4063
46,71 12,4169
47,304 12,4274
47,898 12,438
48,492 12,4486
49,086 12,4592
49,68 12,4698
50,274 12,4804
50,868 12,491
51,462 12,5016
52,056 12,5122
52,65 12,5229
53,244 12,5336
53,838 12,5442
53,946 12,5462
