0 1,48267e-030
0,08 2,06529e-008
0,16 4,73919e-007
0,24 1,046e-005
0,32 0,000228626
0,4 0,00429504
0,48 0,0319244
0,56 0,0854861
0,64 0,149806
0,72 0,21885
0,8 0,290189
0,88 0,36316
0,96 0,437102
1,04 0,511723
1,12 0,586861
1,2 0,662402
1,28 0,738264
1,36 0,814387
1,44 0,890726
1,6 1,04392
1,76 1,19766
1,92 1,35182
2,16 1,58364
2,4 1,816
2,72 2,12644
3,12 2,51524
3,6 2,98258
4,24 3,60664
4,64 3,99692
4,8 4,15236
4,88 4,22905
4,96 4,30373
5,04 4,37413
5,12 4,43706
5,2 4,48997
5,28 4,53245
5,36 4,56605
5,44 4,59299
5,52 4,61511
5,6 4,63368
5,68 4,64957
5,76 4,66341
5,84 4,67563
5,92 4,68655
6,08 4,70539
6,24 4,72125
6,4 4,73494
6,56 4,74697
6,72 4,75771
6,96 4,77195
7,2 4,78445
7,44 4,7956
7,76 4,80885
8,08 4,82066
8,48 4,83385
8,88 4,84569
9,36 4,85852
9,84 4,87015
10,4 4,88254
11,04 4,89548
11,76 4,90882
12,56 4,92246
13,44 4,93635
14,32 4,94932
15,2 4,96157
16,08 4,97325
16,96 4,98445
17,84 4,99526
18,72 5,00576
19,6 5,01599
20,48 5,026
21,36 5,03584
22,24 5,04552
23,12 5,05508
24 5,06453
24,88 5,07391
25,76 5,08323
26,64 5,0925
27,52 5,10174
28,4 5,11095
29,28 5,12015
30,16 5,12935
31,04 5,13856
31,92 5,14778
32,8 5,15702
33,68 5,1663
34,56 5,1756
35,44 5,18495
36,32 5,19434
37,2 5,20377
38,08 5,21327
38,96 5,22281
39,84 5,23242
40,72 5,24209
41,6 5,25183
42,48 5,26164
43,36 5,27152
44,24 5,28148
45,12 5,29152
46 5,30163
46,88 5,31183
47,76 5,32211
48,64 5,33248
49,52 5,34294
50,4 5,35348
51,28 5,36412
52,16 5,37485
53,04 5,38568
53,92 5,3966
54,8 5,40762
55,68 5,41874
56,56 5,42996
57,44 5,44128
58,32 5,4527
59,2 5,46423
60,08 5,47586
60,96 5,48759
61,84 5,49943
62,72 5,51138
63,6 5,52344
64,48 5,53561
65,36 5,54789
66,24 5,56028
67,12 5,57278
68 5,58539
68,88 5,59811
69,76 5,61095
70,64 5,62391
71,52 5,63698
72,4 5,65016
73,28 5,66346
74,16 5,67688
75,04 5,69042
75,92 5,70407
76,8 5,71784
77,68 5,73174
78,56 5,74575
79,44 5,75988
80 5,76894
