0 6,64797e-027
0,08 5,40369e-011
0,16 1,24e-009
0,24 2,73789e-008
0,32 6,035e-007
0,4 1,32539e-005
0,48 0,000270583
0,56 0,00280123
0,64 0,00916638
0,72 0,0173249
0,8 0,0262147
0,88 0,0354053
0,96 0,0447854
1,04 0,0542566
1,12 0,0637764
1,36 0,0924251
1,52 0,11149
1,68 0,130476
1,84 0,149362
2 0,168138
2,16 0,186796
2,32 0,205334
2,48 0,223753
2,64 0,242051
2,8 0,260231
2,96 0,278295
3,12 0,296245
3,28 0,314083
3,44 0,331812
3,6 0,349435
3,76 0,366954
3,92 0,384373
4,08 0,401694
4,24 0,41892
4,4 0,436053
4,64 0,461584
4,88 0,48692
5,12 0,51207
5,36 0,537041
5,6 0,561841
5,84 0,586475
6,08 0,610952
6,32 0,635276
6,56 0,659455
6,88 0,691476
7,2 0,72326
7,52 0,754819
7,84 0,786165
8,16 0,817308
8,48 0,848258
8,8 0,879024
9,2 0,917236
9,6 0,955191
10 0,992903
10,4 1,03039
10,88 1,07508
11,36 1,11949
11,84 1,16362
12,4 1,21479
12,96 1,26564
13,52 1,3162
14,16 1,37365
14,8 1,43077
15,52 1,49467
16,24 1,55822
17,04 1,62848
17,92 1,70536
18,8 1,78188
19,68 1,85807
20,56 1,93397
21,44 2,00961
22,32 2,08504
23,2 2,16028
24,08 2,23535
24,96 2,31028
25,84 2,38508
26,72 2,45979
27,6 2,53442
28,48 2,60899
29,36 2,6835
30,24 2,75799
31,12 2,83245
32 2,90691
32,88 2,98137
33,76 3,05584
34,64 3,13034
35,52 3,20488
36,4 3,27945
37,28 3,35408
38,16 3,42876
39,04 3,50351
39,92 3,57833
40,8 3,65323
41,68 3,72822
42,56 3,80329
43,44 3,87845
44,32 3,95371
45,2 4,02907
46,08 4,10453
46,96 4,18007
47,84 4,25565
48,72 4,33117
49,6 4,40639
50,32 4,4673
50,88 4,51388
51,36 4,55285
51,76 4,58435
52,16 4,61465
52,48 4,63783
52,8 4,65994
53,12 4,68085
53,44 4,70051
53,76 4,7189
54,08 4,73603
54,4 4,75196
54,72 4,76676
55,04 4,78053
55,44 4,79643
55,84 4,81104
56,24 4,82452
56,72 4,83941
57,2 4,85312
57,76 4,86786
58,32 4,88147
58,96 4,89588
59,68 4,9109
60,48 4,9264
61,36 4,9423
62,24 4,95723
63,12 4,9714
64 4,98495
64,88 4,998
65,76 5,01065
66,64 5,02297
67,52 5,03501
68,4 5,04684
69,28 5,05849
70,16 5,07
71,04 5,08139
71,92 5,0927
72,8 5,10394
73,68 5,11514
74,56 5,12631
75,44 5,13746
76,32 5,14861
77,2 5,15976
78,08 5,17094
78,96 5,18214
79,84 5,19338
80 5,19543
