0 1,80767e-026
0,08 1,07792e-010
0,16 2,47353e-009
0,24 5,46149e-008
0,32 1,20382e-006
0,4 2,64252e-005
0,48 0,000534628
0,56 0,00528273
0,64 0,0167307
0,72 0,0312421
0,8 0,047016
0,88 0,063326
0,96 0,0799829
1,04 0,096815
1,12 0,113748
1,2 0,13074
1,44 0,181826
1,6 0,215838
1,76 0,249745
1,92 0,283516
2,08 0,317132
2,24 0,350585
2,4 0,383868
2,56 0,416978
2,72 0,449914
2,88 0,482678
3,04 0,515271
3,2 0,547695
3,36 0,579953
3,52 0,612047
3,68 0,643982
3,84 0,67576
4 0,707384
4,24 0,75454
4,48 0,80137
4,72 0,847885
4,96 0,894096
5,2 0,940014
5,44 0,985648
5,68 1,03101
5,92 1,07611
6,16 1,12095
6,4 1,16555
6,72 1,22465
7,04 1,28335
7,36 1,34166
7,68 1,39961
8 1,4572
8,32 1,51447
8,72 1,5856
9,12 1,65626
9,52 1,72647
9,92 1,79625
10,32 1,86564
10,8 1,9484
11,28 2,03064
11,76 2,11241
12,32 2,20722
12,88 2,30146
13,44 2,39516
14,08 2,50163
14,72 2,6075
15,44 2,72594
16,16 2,84374
16,96 2,97393
17,84 3,11638
18,72 3,25811
19,6 3,39919
20,48 3,5397
21,36 3,6797
22,24 3,81924
23,12 3,95836
24 4,09708
24,88 4,23526
25,44 4,3226
25,84 4,38432
26,16 4,43292
26,48 4,48034
26,72 4,51474
26,96 4,54776
27,2 4,57901
27,36 4,5987
27,52 4,61739
27,68 4,63501
27,84 4,65157
28 4,66705
28,16 4,68151
28,4 4,70138
28,64 4,71927
28,88 4,73541
29,12 4,75003
29,36 4,76334
29,6 4,77553
29,92 4,7903
30,24 4,80364
30,56 4,8158
30,96 4,82963
31,36 4,84221
31,84 4,85597
32,32 4,86854
32,88 4,88199
33,52 4,89609
34,24 4,91065
35,04 4,92556
35,92 4,94077
36,8 4,95498
37,68 4,96843
38,56 4,98124
39,44 4,99356
40,32 5,00546
41,2 5,01703
42,08 5,02832
42,96 5,03938
43,84 5,05026
44,72 5,06099
45,6 5,0716
46,48 5,08211
47,36 5,09255
48,24 5,10293
49,12 5,11327
50 5,12359
50,88 5,13389
51,76 5,14419
52,64 5,1545
53,52 5,16483
54,4 5,17518
55,28 5,18556
56,16 5,19599
57,04 5,20645
57,92 5,21697
58,8 5,22754
59,68 5,23817
60,56 5,24887
61,44 5,25963
62,32 5,27046
63,2 5,28136
64,08 5,29234
64,96 5,30341
65,84 5,31455
66,72 5,32578
67,6 5,33709
68,48 5,34849
69,36 5,35999
70,24 5,37157
71,12 5,38325
72 5,39503
72,88 5,4069
73,76 5,41887
74,64 5,43094
75,52 5,44311
76,4 5,45539
77,28 5,46776
78,16 5,48024
79,04 5,49283
79,92 5,50553
80 5,50668
