0 9,50719e-010
0,08 1,04e-009
0,16 2,50067e-009
0,24 4,63231e-009
0,32 1,19257e-008
0,4 8,07759e-008
0,48 1,26085e-006
0,56 2,57504e-005
0,64 0,000543214
0,72 0,00798632
0,8 0,03689
0,88 0,0799219
0,96 0,12868
1,04 0,180994
1,12 0,237507
1,2 0,299342
1,28 0,365977
1,36 0,438003
1,44 0,519629
1,52 0,607571
1,6 0,696726
1,76 0,875332
1,84 0,96435
1,92 1,05307
2 1,14146
2,08 1,22948
2,16 1,31715
2,24 1,40444
2,32 1,49136
2,4 1,57791
2,48 1,66409
2,56 1,74991
2,64 1,83536
2,8 2,00514
2,96 2,17342
3,12 2,34015
3,28 2,50527
3,44 2,66876
3,6 2,83059
3,76 2,99082
3,92 3,14953
4,08 3,30683
4,24 3,46287
4,4 3,61782
4,56 3,77181
4,8 4,00129
4,88 4,0772
4,96 4,14989
5,04 4,21273
5,12 4,26847
5,2 4,31469
5,28 4,34504
5,36 4,3641
5,44 4,37727
5,52 4,38752
5,6 4,39568
5,76 4,40878
5,92 4,41933
6,08 4,42834
6,32 4,44004
6,56 4,45033
6,88 4,46263
7,28 4,47653
7,76 4,49183
8,32 4,50844
9,04 4,52857
9,92 4,55201
10,8 4,5747
11,68 4,59701
12,56 4,61917
13,44 4,64142
14,32 4,66394
15,2 4,68698
16,08 4,71079
16,88 4,73341
17,6 4,75481
18,24 4,77487
18,88 4,79608
19,52 4,81852
20,16 4,84218
20,88 4,87005
21,76 4,90542
22,64 4,94168
23,52 4,97836
24,4 5,01524
25,28 5,05219
26,16 5,08916
27,04 5,12612
27,92 5,16307
28,8 5,2
29,68 5,23691
30,56 5,2738
31,44 5,31068
32,32 5,34754
33,2 5,38439
34,08 5,42123
34,96 5,45806
35,84 5,49487
36,72 5,53168
37,6 5,56848
38,48 5,60527
39,36 5,64205
40,24 5,67883
41,12 5,7156
42 5,75236
42,88 5,78912
43,76 5,82588
44,64 5,86263
45,52 5,89938
46,4 5,93612
47,28 5,97286
48,16 6,00959
49,04 6,04631
49,6 6,06961
50,48 6,08554
51,36 6,10087
52,24 6,11619
53,12 6,1315
54 6,14679
54,88 6,16208
55,76 6,17736
56,64 6,19262
57,52 6,20788
58,4 6,22313
59,28 6,23838
60,16 6,25361
61,04 6,26884
61,92 6,28406
62,8 6,29928
63,68 6,31448
64,56 6,32969
65,44 6,34488
66,32 6,36007
67,2 6,37525
68,08 6,39043
68,96 6,40561
69,84 6,42077
70,72 6,43593
71,6 6,45109
72,48 6,46624
73,36 6,48139
74,24 6,49653
75,12 6,51167
76 6,52681
76,88 6,54193
77,76 6,55706
78,64 6,57218
79,52 6,5873
80 6,59554
