0 2,3768e-010
0,08 2,60001e-010
0,16 6,25169e-010
0,24 1,15808e-009
0,32 2,98143e-009
0,4 2,0194e-008
0,48 3,15223e-007
0,56 6,4423e-006
0,64 0,000137959
0,72 0,00241388
0,8 0,015029
0,88 0,0369526
0,96 0,0626948
1,04 0,090561
1,12 0,120648
1,2 0,153474
1,28 0,188793
1,36 0,226884
1,44 0,269776
1,52 0,315818
1,6 0,362493
1,76 0,456062
1,84 0,502732
1,92 0,549267
2 0,595645
2,08 0,641854
2,16 0,68789
2,24 0,733751
2,32 0,779436
2,4 0,824949
2,56 0,915471
2,72 1,00534
2,88 1,09461
3,04 1,18329
3,2 1,27143
3,36 1,35906
3,52 1,4462
3,68 1,53289
3,84 1,61915
4 1,705
4,16 1,79046
4,4 1,91798
4,64 2,04474
4,8 2,12884
4,88 2,17069
4,96 2,21127
5,04 2,24779
5,12 2,28152
5,2 2,31416
5,36 2,37818
5,6 2,47292
6 2,62968
6,72 2,91068
7,6 3,2535
8,48 3,59613
9,36 3,93869
9,76 4,09426
9,92 4,15553
10 4,18461
10,08 4,21087
10,16 4,23277
10,24 4,25001
10,32 4,26346
10,4 4,27421
10,48 4,28312
10,56 4,29063
10,72 4,30299
10,88 4,31306
11,04 4,32168
11,28 4,33283
11,52 4,34256
11,84 4,3541
12,24 4,36698
12,72 4,38097
13,28 4,39596
13,92 4,41193
14,72 4,43069
15,6 4,45029
16,48 4,46911
17,36 4,48737
18,24 4,5052
19,12 4,52269
20 4,53991
20,88 4,55689
21,76 4,57369
22,64 4,59032
23,52 4,60681
24,4 4,62318
25,28 4,63944
26,16 4,6556
27,04 4,67168
27,92 4,68769
28,8 4,70362
29,68 4,7195
30,56 4,73531
31,44 4,75108
32,32 4,7668
33,2 4,78247
34,08 4,79811
34,96 4,8137
35,84 4,82926
36,72 4,84479
37,6 4,86029
38,48 4,87576
39,36 4,8912
40,24 4,90662
41,12 4,92201
42 4,93739
42,88 4,95274
43,76 4,96807
44,64 4,98338
45,52 4,99868
46,4 5,01395
47,28 5,02921
48,16 5,04446
49,04 5,05969
49,92 5,07491
50,8 5,09011
51,68 5,1053
52,56 5,12048
53,44 5,13565
54,32 5,1508
55,2 5,16595
56,08 5,18108
56,96 5,19621
57,84 5,21132
58,72 5,22643
59,6 5,24152
60,48 5,25661
61,36 5,27169
62,24 5,28676
63,12 5,30182
64 5,31688
64,88 5,33193
65,76 5,34697
66,64 5,362
67,52 5,37703
68,4 5,39206
69,28 5,40707
70,16 5,42208
71,04 5,43708
71,92 5,45208
72,8 5,46708
73,68 5,48206
74,56 5,49705
75,44 5,51202
76,32 5,527
77,2 5,54196
78,08 5,55693
78,96 5,57189
79,84 5,58684
80 5,58956
