"R5(1)","R1(1)"
0,-1.83197e-027
0.03,1.13996e-010
0.06,9.26971e-011
0.09,1.02466e-010
0.12,1.07815e-010
0.15,1.12067e-010
0.33,1.32066e-010
0.42,1.42082e-010
0.48,1.48809e-010
0.51,1.52269e-010
0.54,1.55981e-010
0.57,1.60493e-010
0.6,1.66815e-010
0.63,1.76559e-010
0.66,1.91258e-010
0.69,2.12374e-010
0.72,2.41835e-010
0.75,2.82306e-010
0.78,3.38402e-010
0.81,4.15819e-010
0.84,5.22901e-010
0.87,6.71429e-010
0.9,8.77892e-010
0.93,1.16536e-009
0.96,1.56609e-009
0.99,2.12514e-009
1.02,2.90542e-009
1.05,3.9947e-009
1.08,5.51533e-009
1.11,7.63775e-009
1.14,1.05992e-008
1.17,1.47296e-008
1.2,2.04873e-008
1.23,2.85089e-008
1.26,3.96774e-008
1.29,5.52163e-008
1.32,7.68202e-008
1.35,1.06833e-007
1.38,1.48496e-007
1.41,2.06283e-007
1.44,2.86368e-007
1.47,3.9726e-007
1.5,5.50679e-007
1.53,7.62749e-007
1.56,1.05564e-006
1.59,1.45978e-006
1.62,2.01694e-006
1.65,2.78439e-006
1.68,3.84053e-006
1.71,5.29268e-006
1.74,7.28752e-006
1.77,1.00254e-005
1.8,1.37798e-005
1.83,1.89235e-005
1.86,2.59643e-005
1.89,3.55935e-005
1.92,4.87508e-005
1.95,6.67132e-005
1.98,9.1214e-005
2.01,0.000124604
2.04,0.000170068
2.07,0.000231918
2.1,0.000315986
2.13,0.000430154
2.16,0.000585062
2.19,0.000795057
2.22,0.00107947
2.25,0.00146433
2.28,0.00198459
2.31,0.00268719
2.34,0.00363505
2.37,0.0049123
2.4,0.00663129
2.43,0.00894155
2.46,0.0120415
2.49,0.0161935
2.52,0.0217424
2.55,0.0291383
2.58,0.0389644
2.61,0.0519674
2.64,0.0690898
2.67,0.0914994
2.7,0.12061
2.73,0.15808
2.76,0.205783
2.79,0.265734
2.82,0.339967
2.85,0.430373
2.88,0.538521
2.91,0.665498
2.94,0.811791
2.97,0.977261
3,1.16118
3.03,1.36236
3.06,1.57924
3.09,1.81008
3.12,2.05303
3.15,2.30353
3.18,2.50052
3.21,2.61321
3.24,2.69655
3.27,2.77229
3.3,2.84308
3.33,2.91148
3.36,2.97841
3.39,3.0442
3.42,3.10902
3.45,3.17256
3.48,3.23351
3.51,3.28944
3.54,3.33886
3.57,3.38237
3.6,3.42186
3.63,3.45903
3.66,3.49472
3.69,3.52934
3.75,3.5964
3.81,3.66157
3.87,3.72553
3.96,3.81999
4.05,3.91325
4.17,4.03639
4.32,4.18904
4.5,4.371
4.71,4.58217
4.89,4.76228
4.98,4.85155
5.04,4.91024
5.1,4.96767
5.16,5.02311
5.22,5.07558
5.25,5.10021
5.28,5.1233
5.31,5.14428
5.34,5.16229
5.37,5.1763
5.4,5.18572
5.43,5.19131
5.49,5.19717
5.61,5.2046
5.79,5.2141
6,5.22371
6.24,5.23321
6.51,5.24245
6.81,5.25134
7.14,5.25983
7.47,5.26727
7.8,5.27386
8.13,5.27976
8.46,5.2851
8.79,5.28995
9.12,5.29438
9.45,5.29847
9.78,5.30224
10.11,5.30573
10.44,5.30899
10.77,5.31203
11.1,5.31487
11.43,5.31754
11.76,5.32005
12.09,5.32241
12.42,5.32465
12.75,5.32676
13.08,5.32876
13.41,5.33065
13.74,5.33246
14.07,5.33417
14.4,5.3358
14.73,5.33735
15.06,5.33883
15.39,5.34025
15.72,5.3416
16.05,5.34289
16.38,5.34413
16.71,5.34532
17.04,5.34645
17.37,5.34754
17.7,5.34858
18.03,5.34959
18.36,5.35055
18.69,5.35147
19.02,5.35236
19.35,5.35322
19.68,5.35404
20.01,5.35483
20.34,5.3556
20.67,5.35633
21,5.35704
21.33,5.35772
21.66,5.35838
21.99,5.35901
22.32,5.35962
22.65,5.36021
22.98,5.36078
23.31,5.36133
23.64,5.36186
23.97,5.36237
24.3,5.36286
24.63,5.36334
24.96,5.3638
25.29,5.36424
25.62,5.36467
25.95,5.36509
26.28,5.36549
26.61,5.36588
26.94,5.36625
27.27,5.36661
27.6,5.36696
27.93,5.3673
28.26,5.36763
28.59,5.36794
28.92,5.36825
29.25,5.36854
29.58,5.36882
29.91,5.3691
29.97,5.36915
