0 5,16897e-021
0,24 5,50362e-007
0,48 3,98247e-005
0,72 0,00390823
0,96 0,0847751
1,2 0,265622
1,44 0,47521
1,68 0,695849
1,92 0,921117
2,16 1,14974
2,4 1,38034
2,64 1,61231
2,88 1,84532
3,12 2,07914
3,36 2,31359
3,84 2,78399
4,32 3,25585
4,8 3,7288
5,52 4,43972
6,24 5,15197
7,2 6,10313
8,4 7,29382
10,08 8,96303
12,48 11,3506
15,12 13,9796
17,76 16,6105
20,4 19,2427
23,04 21,8759
25,68 24,5098
28,32 27,1443
30,96 29,7793
33,6 32,4147
36,24 35,0504
38,88 37,6859
39,6 38,4015
40,08 38,8701
40,32 39,0967
40,56 39,313
40,8 39,5141
41,04 39,6951
41,28 39,8537
41,52 39,9904
41,76 40,1077
42 40,2091
42,24 40,2977
42,48 40,3761
42,96 40,5098
43,44 40,6214
43,92 40,7178
44,4 40,8031
45,12 40,916
45,84 41,0158
46,8 41,1343
47,76 41,2408
48,96 41,3617
50,4 41,4935
51,84 41,6148
53,52 41,746
55,44 41,8859
57,6 42,0332
60 42,1872
62,64 42,3475
65,28 42,5002
67,92 42,6468
70,56 42,7882
73,2 42,9255
75,84 43,0591
78,48 43,1896
81,12 43,3175
83,76 43,443
86,4 43,5666
89,04 43,6883
91,68 43,8085
94,32 43,9274
96,96 44,045
99,6 44,1616
102,24 44,2772
104,88 44,392
107,52 44,5061
110,16 44,6196
112,8 44,7326
115,44 44,845
118,08 44,9571
120,72 45,0689
123,36 45,1803
126 45,2916
128,64 45,4026
131,28 45,5136
133,92 45,6244
136,56 45,7353
139,2 45,8461
141,84 45,9569
144,48 46,0678
147,12 46,1788
149,76 46,2899
152,4 46,4011
155,04 46,5125
157,68 46,6241
160,32 46,736
162,96 46,8481
165,6 46,9604
168,24 47,073
170,88 47,186
173,52 47,2993
176,16 47,4129
178,8 47,5269
181,44 47,6414
184,08 47,7562
186,72 47,8714
189,36 47,9872
192 48,1034
194,64 48,2201
197,28 48,3373
199,92 48,4551
202,56 48,5735
205,2 48,6925
207,84 48,8121
210,48 48,9324
213,12 49,0534
215,76 49,1751
218,4 49,2976
221,04 49,421
223,68 49,5452
226,32 49,6704
228,96 49,7966
231,6 49,9238
234,24 50,0523
236,88 50,182
239,52 50,313
239,76 50,325
