0 1,69346e-028
0,24 2,82337e-009
0,48 2,04457e-007
0,72 2,16139e-005
0,96 0,00214807
1,2 0,0648795
1,44 0,235486
1,68 0,440024
1,92 0,655908
2,16 0,877024
2,4 1,10167
2,64 1,32829
2,88 1,55624
3,12 1,7852
3,36 2,01492
3,6 2,24524
4,08 2,70718
4,56 3,17036
5,28 3,86662
6,24 4,79656
8,88 7,35674
10,56 8,98509
12,24 10,6114
13,92 12,235
15,6 13,8553
17,28 15,472
18,96 17,0847
20,64 18,6931
22,32 20,297
24 21,8961
25,68 23,4902
27,36 25,079
29,04 26,6625
30,72 28,2404
32,64 30,0368
34,56 31,8255
36,48 33,6065
38,4 35,3795
40,32 37,1444
41,52 38,2417
42 38,6762
42,48 39,1004
42,72 39,3038
42,96 39,497
43,2 39,6761
43,44 39,8378
43,68 39,9808
43,92 40,1057
44,16 40,2146
44,4 40,3098
44,64 40,394
45,12 40,5367
45,6 40,6549
46,08 40,756
46,56 40,8447
47,28 40,9614
48 41,0637
48,96 41,1846
49,92 41,2927
51,12 41,4149
52,32 41,5265
53,76 41,65
55,44 41,7833
57,36 41,9247
59,52 42,0734
61,92 42,2285
64,56 42,3898
67,2 42,5432
69,84 42,6903
72,48 42,8323
75,12 42,97
77,76 43,104
80,4 43,2349
83,04 43,3631
85,68 43,4889
88,32 43,6127
90,96 43,7347
93,6 43,8551
96,24 43,9742
98,88 44,092
101,52 44,2088
104,16 44,3246
106,8 44,4396
109,44 44,5539
112,08 44,6676
114,72 44,7807
117,36 44,8934
120 45,0056
122,64 45,1175
125,28 45,2292
127,92 45,3406
130,56 45,4518
133,2 45,5629
135,84 45,6739
138,48 45,7849
141,12 45,8959
143,76 46,0069
146,4 46,1179
149,04 46,2291
151,68 46,3403
154,32 46,4518
156,96 46,5634
159,6 46,6751
162,24 46,7871
164,88 46,8994
167,52 47,0119
170,16 47,1248
172,8 47,2379
175,44 47,3514
178,08 47,4652
180,72 47,5794
183,36 47,694
186 47,809
188,64 47,9245
191,28 48,0405
193,92 48,1569
196,56 48,2738
199,2 48,3913
201,84 48,5093
204,48 48,628
207,12 48,7472
209,76 48,8671
212,4 48,9877
215,04 49,109
217,68 49,2311
220,32 49,354
222,96 49,4777
225,6 49,6024
228,24 49,728
230,88 49,8547
233,52 49,9824
236,16 50,1115
238,8 50,2418
239,76 50,2895
