1 47,8417
1,023292992 47,8417
1,047128548 47,8417
1,071519305 47,8417
1,096478196 47,8417
1,122018454 47,8417
1,148153621 47,8417
1,174897555 47,8417
1,202264435 47,8417
1,230268771 47,8417
1,258925412 47,8417
1,288249552 47,8417
1,318256739 47,8417
1,348962883 47,8417
1,380384265 47,8417
1,412537545 47,8417
1,445439771 47,8417
1,479108388 47,8417
1,513561248 47,8417
1,548816619 47,8417
1,584893192 47,8417
1,621810097 47,8417
1,659586907 47,8417
1,698243652 47,8417
1,737800829 47,8417
1,77827941 47,8417
1,819700859 47,8417
1,862087137 47,8417
1,905460718 47,8417
1,9498446 47,8417
1,995262315 47,8417
2,041737945 47,8417
2,089296131 47,8417
2,13796209 47,8417
2,187761624 47,8417
2,238721139 47,8417
2,290867653 47,8417
2,344228815 47,8417
2,398832919 47,8417
2,454708916 47,8417
2,511886432 47,8417
2,570395783 47,8417
2,630267992 47,8417
2,691534804 47,8417
2,754228703 47,8417
2,818382931 47,8417
2,884031503 47,8417
2,951209227 47,8417
3,01995172 47,8417
3,090295433 47,8417
3,16227766 47,8417
3,235936569 47,8417
3,311311215 47,8417
3,388441561 47,8417
3,467368505 47,8417
3,548133892 47,8417
3,630780548 47,8417
3,715352291 47,8417
3,801893963 47,8417
3,89045145 47,8417
3,981071706 47,8417
4,073802778 47,8417
4,168693835 47,8417
4,265795188 47,8417
4,365158322 47,8417
4,466835922 47,8417
4,570881896 47,8417
4,677351413 47,8417
4,786300923 47,8417
4,897788194 47,8417
5,011872336 47,8417
5,12861384 47,8417
5,248074602 47,8417
5,370317964 47,8417
5,495408739 47,8417
5,623413252 47,8417
5,754399373 47,8417
5,888436554 47,8417
6,025595861 47,8417
6,165950019 47,8417
6,309573445 47,8417
6,45654229 47,8417
6,60693448 47,8417
6,760829754 47,8417
6,918309709 47,8417
7,079457844 47,8417
7,244359601 47,8417
7,413102413 47,8417
7,58577575 47,8417
7,762471166 47,8417
7,943282347 47,8417
8,128305162 47,8417
8,317637711 47,8417
8,511380382 47,8417
8,7096359 47,8417
8,912509381 47,8417
9,120108394 47,8417
9,332543008 47,8417
9,54992586 47,8417
9,77237221 47,8417
10 47,8417
10,23292992 47,8417
10,47128548 47,8417
10,71519305 47,8417
10,96478196 47,8417
11,22018454 47,8417
11,48153621 47,8417
11,74897555 47,8417
12,02264435 47,8417
12,30268771 47,8417
12,58925412 47,8417
12,88249552 47,8417
13,18256739 47,8417
13,48962883 47,8417
13,80384265 47,8417
14,12537545 47,8417
14,45439771 47,8417
14,79108388 47,8417
15,13561248 47,8417
15,48816619 47,8417
15,84893192 47,8417
16,21810097 47,8417
16,59586907 47,8417
16,98243652 47,8417
17,37800829 47,8417
17,7827941 47,8417
18,19700859 47,8417
18,62087137 47,8417
19,05460718 47,8417
19,498446 47,8417
19,95262315 47,8417
20,41737945 47,8417
20,89296131 47,8417
21,3796209 47,8417
21,87761624 47,8417
22,38721139 47,8417
22,90867653 47,8417
23,44228815 47,8417
23,98832919 47,8417
24,54708916 47,8417
25,11886432 47,8417
25,70395783 47,8417
26,30267992 47,8417
26,91534804 47,8417
27,54228703 47,8417
28,18382931 47,8417
28,84031503 47,8417
29,51209227 47,8416
30,1995172 47,8416
30,90295433 47,8416
31,6227766 47,8416
32,35936569 47,8416
33,11311215 47,8416
33,88441561 47,8416
34,67368505 47,8416
35,48133892 47,8416
36,30780548 47,8416
37,15352291 47,8416
38,01893963 47,8416
38,9045145 47,8416
39,81071706 47,8416
40,73802778 47,8416
41,68693835 47,8416
42,65795188 47,8415
43,65158322 47,8415
44,66835922 47,8415
45,70881896 47,8415
46,77351413 47,8415
47,86300923 47,8415
48,97788194 47,8415
50,11872336 47,8415
51,2861384 47,8415
52,48074602 47,8414
53,70317964 47,8414
54,95408739 47,8414
56,23413252 47,8414
57,54399373 47,8414
58,88436554 47,8414
60,25595861 47,8413
61,65950019 47,8413
63,09573445 47,8413
64,5654229 47,8413
66,0693448 47,8413
67,60829754 47,8412
69,18309709 47,8412
70,79457844 47,8412
72,44359601 47,8412
74,13102413 47,8411
75,8577575 47,8411
77,62471166 47,8411
79,43282347 47,841
81,28305162 47,841
83,17637711 47,841
85,11380382 47,8409
87,096359 47,8409
89,12509381 47,8409
91,20108394 47,8408
93,32543008 47,8408
95,4992586 47,8407
97,7237221 47,8407
100 47,8406
102,3292992 47,8406
104,7128548 47,8405
107,1519305 47,8405
109,6478196 47,8404
112,2018454 47,8404
114,8153621 47,8403
117,4897555 47,8402
120,2264435 47,8402
123,0268771 47,8401
125,8925412 47,84
128,8249552 47,8399
131,8256739 47,8398
134,8962883 47,8397
138,0384265 47,8396
141,2537545 47,8395
144,5439771 47,8394
147,9108388 47,8393
151,3561248 47,8392
154,8816619 47,8391
158,4893192 47,839
162,1810097 47,8389
165,9586907 47,8387
169,8243652 47,8386
173,7800829 47,8384
177,827941 47,8383
181,9700859 47,8381
186,2087137 47,8379
190,5460718 47,8378
194,98446 47,8376
199,5262315 47,8374
204,1737945 47,8372
208,9296131 47,8369
213,796209 47,8367
218,7761624 47,8365
223,8721139 47,8362
229,0867653 47,836
234,4228815 47,8357
239,8832919 47,8354
245,4708916 47,8351
251,1886432 47,8348
257,0395783 47,8345
263,0267992 47,8341
269,1534804 47,8338
275,4228703 47,8334
281,8382931 47,833
288,4031503 47,8326
295,1209227 47,8322
301,995172 47,8317
309,0295433 47,8313
316,227766 47,8308
323,5936569 47,8302
331,1311215 47,8297
338,8441561 47,8291
346,7368505 47,8285
354,8133892 47,8279
363,0780548 47,8273
371,5352291 47,8266
380,1893963 47,8259
389,045145 47,8251
398,1071706 47,8244
407,3802778 47,8235
416,8693835 47,8227
426,5795188 47,8218
436,5158322 47,8208
446,6835922 47,8199
457,0881896 47,8188
467,7351413 47,8178
478,6300923 47,8166
489,7788194 47,8154
501,1872336 47,8142
512,861384 47,8129
524,8074602 47,8116
537,0317964 47,8101
549,5408739 47,8087
562,3413252 47,8071
575,4399373 47,8055
588,8436554 47,8038
602,5595861 47,802
616,5950019 47,8001
630,9573445 47,7982
645,654229 47,7961
660,693448 47,794
676,0829754 47,7918
691,8309709 47,7894
707,9457844 47,787
724,4359601 47,7844
741,3102413 47,7817
758,577575 47,7789
776,2471166 47,776
794,3282347 47,7729
812,8305162 47,7697
831,7637711 47,7663
851,1380382 47,7628
870,96359 47,7591
891,2509381 47,7553
912,0108394 47,7512
933,2543008 47,747
954,992586 47,7426
977,237221 47,738
1000 47,7332
1023,292992 47,7281
1047,128548 47,7228
1071,519305 47,7173
1096,478196 47,7115
1122,018454 47,7055
1148,153621 47,6992
1174,897555 47,6925
1202,264435 47,6856
1230,268771 47,6784
1258,925412 47,6709
1288,249552 47,663
1318,256739 47,6547
1348,962883 47,6461
1380,384265 47,6371
1412,537545 47,6277
1445,439771 47,6179
1479,108388 47,6076
1513,561248 47,5969
1548,816619 47,5857
1584,893192 47,574
1621,810097 47,5617
1659,586907 47,549
1698,243652 47,5357
1737,800829 47,5217
1778,27941 47,5072
1819,700859 47,4921
1862,087137 47,4763
1905,460718 47,4598
1949,8446 47,4426
1995,262315 47,4247
2041,737945 47,406
2089,296131 47,3865
2137,96209 47,3661
2187,761624 47,345
2238,721139 47,3229
2290,867653 47,2999
2344,228815 47,276
2398,832919 47,251
2454,708916 47,2251
2511,886432 47,1981
2570,395783 47,17
2630,267992 47,1407
2691,534804 47,1103
2754,228703 47,0787
2818,382931 47,0459
2884,031503 47,0117
2951,209227 46,9763
3019,95172 46,9395
3090,295433 46,9012
3162,27766 46,8616
3235,936569 46,8204
3311,311215 46,7777
3388,441561 46,7335
3467,368505 46,6876
3548,133892 46,6401
3630,780548 46,5909
3715,352291 46,54
3801,893963 46,4873
3890,45145 46,4328
3981,071706 46,3765
4073,802778 46,3182
4168,693835 46,2581
4265,795188 46,196
4365,158322 46,1319
4466,835922 46,0658
4570,881896 45,9977
4677,351413 45,9274
4786,300923 45,8551
4897,788194 45,7806
5011,872336 45,7039
5128,61384 45,6251
5248,074602 45,544
5370,317964 45,4607
5495,408739 45,3752
5623,413252 45,2874
5754,399373 45,1973
5888,436554 45,105
6025,595861 45,0103
6165,950019 44,9134
6309,573445 44,8141
6456,54229 44,7126
6606,93448 44,6087
6760,829754 44,5026
6918,309709 44,3941
7079,457844 44,2834
7244,359601 44,1704
7413,102413 44,0552
7585,77575 43,9377
7762,471166 43,818
7943,282347 43,6961
8128,305162 43,572
8317,637711 43,4457
8511,380382 43,3173
8709,6359 43,1869
8912,509381 43,0543
9120,108394 42,9197
9332,543008 42,7831
9549,92586 42,6445
9772,37221 42,504
10000 42,3615
10232,92992 42,2172
10471,28548 42,0711
10715,19305 41,9232
10964,78196 41,7735
11220,18454 41,6221
11481,53621 41,469
11748,97555 41,3143
12022,64435 41,158
12302,68771 41,0001
12589,25412 40,8408
12882,49552 40,6799
13182,56739 40,5177
13489,62883 40,354
13803,84265 40,189
14125,37545 40,0227
14454,39771 39,8551
14791,08388 39,6863
15135,61248 39,5163
15488,16619 39,3451
15848,93192 39,1728
16218,10097 38,9995
16595,86907 38,825
16982,43652 38,6496
17378,00829 38,4732
17782,7941 38,2959
18197,00859 38,1176
18620,87137 37,9385
19054,60718 37,7585
19498,446 37,5777
19952,62315 37,3961
20417,37945 37,2138
20892,96131 37,0307
21379,6209 36,847
21877,61624 36,6625
22387,21139 36,4774
22908,67653 36,2917
23442,28815 36,1054
23988,32919 35,9185
24547,08916 35,7311
25118,86432 35,5431
25703,95783 35,3546
26302,67992 35,1656
26915,34804 34,9762
27542,28703 34,7863
28183,82931 34,5959
28840,31503 34,4052
29512,09227 34,214
30199,5172 34,0225
30902,95433 33,8306
31622,7766 33,6383
32359,36569 33,4457
33113,11215 33,2528
33884,41561 33,0596
34673,68505 32,866
35481,33892 32,6722
36307,80548 32,4781
37153,52291 32,2838
38018,93963 32,0892
38904,5145 31,8943
39810,71706 31,6993
40738,02778 31,504
41686,93835 31,3085
42657,95188 31,1127
43651,58322 30,9168
44668,35922 30,7208
45708,81896 30,5245
46773,51413 30,3281
47863,00923 30,1315
48977,88194 29,9347
50118,72336 29,7378
51286,1384 29,5407
52480,74602 29,3435
53703,17964 29,1462
54954,08739 28,9488
56234,13252 28,7512
57543,99373 28,5535
58884,36554 28,3557
60255,95861 28,1578
61659,50019 27,9598
63095,73445 27,7617
64565,4229 27,5635
66069,3448 27,3652
67608,29754 27,1668
69183,09709 26,9684
70794,57844 26,7698
72443,59601 26,5712
74131,02413 26,3725
75857,7575 26,1737
77624,71166 25,9749
79432,82347 25,7759
81283,05162 25,577
83176,37711 25,3779
85113,80382 25,1788
87096,359 24,9797
89125,09381 24,7804
91201,08394 24,5812
93325,43008 24,3818
95499,2586 24,1824
97723,7221 23,983
100000 23,7835
102329,2992 23,584
104712,8548 23,3844
107151,9305 23,1847
109647,8196 22,9851
112201,8454 22,7853
114815,3621 22,5855
117489,7555 22,3857
120226,4435 22,1858
123026,8771 21,9859
125892,5412 21,786
128824,9552 21,586
131825,6739 21,3859
134896,2883 21,1858
138038,4265 20,9857
141253,7545 20,7855
144543,9771 20,5853
147910,8388 20,385
151356,1248 20,1847
154881,6619 19,9843
158489,3192 19,7839
162181,0097 19,5834
165958,6907 19,3829
169824,3652 19,1823
173780,0829 18,9817
177827,941 18,781
181970,0859 18,5803
186208,7137 18,3795
190546,0718 18,1787
194984,46 17,9777
199526,2315 17,7768
204173,7945 17,5757
208929,6131 17,3746
213796,209 17,1735
218776,1624 16,9722
223872,1139 16,7709
229086,7653 16,5695
234422,8815 16,3681
239883,2919 16,1665
245470,8916 15,9649
251188,6432 15,7632
257039,5783 15,5613
263026,7992 15,3594
269153,4804 15,1574
275422,8703 14,9553
281838,2931 14,7531
288403,1503 14,5508
295120,9227 14,3483
301995,172 14,1457
309029,5433 13,943
316227,766 13,7402
323593,6569 13,5372
331131,1215 13,3341
338844,1561 13,1308
346736,8505 12,9274
354813,3892 12,7238
363078,0548 12,52
371535,2291 12,3161
380189,3963 12,1119
389045,145 11,9076
398107,1706 11,7031
407380,2778 11,4983
416869,3835 11,2934
426579,5188 11,0882
436515,8322 10,8827
446683,5922 10,677
457088,1896 10,4711
467735,1413 10,2648
478630,0923 10,0583
489778,8194 9,85147
501187,2336 9,64433
512861,384 9,43687
524807,4602 9,22906
537031,7964 9,0209
549540,8739 8,81237
562341,3252 8,60345
575439,9373 8,39413
588843,6554 8,18439
602559,5861 7,97421
616595,0019 7,76358
630957,3445 7,55247
645654,229 7,34086
660693,448 7,12874
676082,9754 6,91609
691830,9709 6,70287
707945,7844 6,48908
724435,9601 6,27468
741310,2413 6,05965
758577,575 5,84396
776247,1166 5,6276
794328,2347 5,41053
812830,5162 5,19273
831763,7711 4,97417
851138,0382 4,75481
870963,59 4,53464
891250,9381 4,31361
912010,8394 4,0917
933254,3008 3,86888
954992,586 3,6451
977237,221 3,42035
1000000 3,19458
1023292,992 2,96776
1047128,548 2,73985
1071519,305 2,51081
1096478,196 2,28062
1122018,454 2,04922
1148153,621 1,81659
1174897,555 1,58268
1202264,435 1,34745
1230268,771 1,11087
1258925,412 0,872898
1288249,552 0,633486
1318256,739 0,392598
1348962,883 0,150193
1380384,265 -0,0937693
1412537,545 -0,33933
1445439,771 -0,586528
1479108,388 -0,835406
1513561,248 -1,086
1548816,619 -1,33835
1584893,192 -1,5925
1621810,097 -1,84849
1659586,907 -2,10634
1698243,652 -2,3661
1737800,829 -2,62781
1778279,41 -2,89149
1819700,859 -3,15719
1862087,137 -3,42492
1905460,718 -3,69473
1949844,6 -3,96664
1995262,315 -4,24067
2041737,945 -4,51686
2089296,131 -4,79522
2137962,09 -5,07578
2187761,624 -5,35856
2238721,139 -5,64357
2290867,653 -5,93083
2344228,815 -6,22034
2398832,919 -6,51213
2454708,916 -6,80619
2511886,432 -7,10254
2570395,783 -7,40117
2630267,992 -7,70209
2691534,804 -8,00529
2754228,703 -8,31077
2818382,931 -8,61852
2884031,503 -8,92854
2951209,227 -9,24081
3019951,72 -9,55531
3090295,433 -9,87203
3162277,66 -10,191
3235936,569 -10,5121
3311311,215 -10,8353
3388441,561 -11,1607
3467368,505 -11,4882
3548133,892 -11,8178
3630780,548 -12,1494
3715352,291 -12,4831
3801893,963 -12,8187
3890451,45 -13,1562
3981071,706 -13,4957
