10 105,98
10,23292992 105,98
10,47128548 105,98
10,71519305 105,98
10,96478196 105,98
11,22018454 105,98
11,48153621 105,98
11,74897555 105,98
12,02264435 105,98
12,30268771 105,98
12,58925412 105,98
12,88249552 105,98
13,18256739 105,98
13,48962883 105,98
13,80384265 105,98
14,12537545 105,98
14,45439771 105,98
14,79108388 105,98
15,13561248 105,98
15,48816619 105,98
15,84893192 105,98
16,21810097 105,98
16,59586907 105,98
16,98243652 105,98
17,37800829 105,98
17,7827941 105,98
18,19700859 105,98
18,62087137 105,98
19,05460718 105,98
19,498446 105,98
19,95262315 105,98
20,41737945 105,98
20,89296131 105,98
21,3796209 105,98
21,87761624 105,98
22,38721139 105,98
22,90867653 105,98
23,44228815 105,98
23,98832919 105,98
24,54708916 105,98
25,11886432 105,98
25,70395783 105,98
26,30267992 105,98
26,91534804 105,98
27,54228703 105,98
28,18382931 105,98
28,84031503 105,98
29,51209227 105,98
30,1995172 105,98
30,90295433 105,98
31,6227766 105,98
32,35936569 105,98
33,11311215 105,98
33,88441561 105,98
34,67368505 105,98
35,48133892 105,98
36,30780548 105,98
37,15352291 105,98
38,01893963 105,98
38,9045145 105,98
39,81071706 105,98
40,73802778 105,98
41,68693835 105,98
42,65795188 105,98
43,65158322 105,98
44,66835922 105,98
45,70881896 105,98
46,77351413 105,98
47,86300923 105,98
48,97788194 105,98
50,11872336 105,98
51,2861384 105,98
52,48074602 105,98
53,70317964 105,98
54,95408739 105,98
56,23413252 105,98
57,54399373 105,98
58,88436554 105,98
60,25595861 105,98
61,65950019 105,98
63,09573445 105,98
64,5654229 105,98
66,0693448 105,98
67,60829754 105,98
69,18309709 105,98
70,79457844 105,98
72,44359601 105,98
74,13102413 105,98
75,8577575 105,98
77,62471166 105,98
79,43282347 105,98
81,28305162 105,98
83,17637711 105,98
85,11380382 105,98
87,096359 105,98
89,12509381 105,98
91,20108394 105,98
93,32543008 105,98
95,4992586 105,98
97,7237221 105,98
100 105,98
102,3292992 105,98
104,7128548 105,98
107,1519305 105,98
109,6478196 105,98
112,2018454 105,98
114,8153621 105,98
117,4897555 105,98
120,2264435 105,98
123,0268771 105,98
125,8925412 105,98
128,8249552 105,98
