1 41,8906
1,023292992 41,8906
1,047128548 41,8906
1,071519305 41,8906
1,096478196 41,8906
1,122018454 41,8906
1,148153621 41,8906
1,174897555 41,8906
1,202264435 41,8906
1,230268771 41,8906
1,258925412 41,8906
1,288249552 41,8906
1,318256739 41,8906
1,348962883 41,8906
1,380384265 41,8906
1,412537545 41,8906
1,445439771 41,8906
1,479108388 41,8906
1,513561248 41,8906
1,548816619 41,8906
1,584893192 41,8906
1,621810097 41,8906
1,659586907 41,8906
1,698243652 41,8906
1,737800829 41,8906
1,77827941 41,8906
1,819700859 41,8906
1,862087137 41,8906
1,905460718 41,8906
1,9498446 41,8906
1,995262315 41,8906
2,041737945 41,8906
2,089296131 41,8906
2,13796209 41,8906
2,187761624 41,8906
2,238721139 41,8906
2,290867653 41,8906
2,344228815 41,8906
2,398832919 41,8906
2,454708916 41,8906
2,511886432 41,8906
2,570395783 41,8906
2,630267992 41,8906
2,691534804 41,8906
2,754228703 41,8906
2,818382931 41,8906
2,884031503 41,8906
2,951209227 41,8906
3,01995172 41,8906
3,090295433 41,8906
3,16227766 41,8906
3,235936569 41,8906
3,311311215 41,8906
3,388441561 41,8906
3,467368505 41,8906
3,548133892 41,8906
3,630780548 41,8906
3,715352291 41,8906
3,801893963 41,8906
3,89045145 41,8906
3,981071706 41,8906
4,073802778 41,8906
4,168693835 41,8906
4,265795188 41,8906
4,365158322 41,8906
4,466835922 41,8906
4,570881896 41,8906
4,677351413 41,8906
4,786300923 41,8906
4,897788194 41,8906
5,011872336 41,8906
5,12861384 41,8906
5,248074602 41,8906
5,370317964 41,8906
5,495408739 41,8906
5,623413252 41,8906
5,754399373 41,8906
5,888436554 41,8906
6,025595861 41,8906
6,165950019 41,8906
6,309573445 41,8906
6,45654229 41,8906
6,60693448 41,8906
6,760829754 41,8906
6,918309709 41,8906
7,079457844 41,8906
7,244359601 41,8906
7,413102413 41,8906
7,58577575 41,8906
7,762471166 41,8906
7,943282347 41,8906
8,128305162 41,8906
8,317637711 41,8906
8,511380382 41,8906
8,7096359 41,8906
8,912509381 41,8906
9,120108394 41,8906
9,332543008 41,8906
9,54992586 41,8906
9,77237221 41,8906
10 41,8906
10,23292992 41,8906
