10 82,2424
10,23292992 82,2424
10,47128548 82,2424
10,71519305 82,2424
10,96478196 82,2424
11,22018454 82,2424
11,48153621 82,2424
11,74897555 82,2424
12,02264435 82,2424
12,30268771 82,2424
12,58925412 82,2424
12,88249552 82,2424
13,18256739 82,2424
13,48962883 82,2424
13,80384265 82,2424
14,12537545 82,2424
14,45439771 82,2424
14,79108388 82,2424
15,13561248 82,2424
15,48816619 82,2424
15,84893192 82,2424
16,21810097 82,2424
16,59586907 82,2424
16,98243652 82,2424
17,37800829 82,2424
17,7827941 82,2424
18,19700859 82,2424
18,62087137 82,2424
19,05460718 82,2424
19,498446 82,2424
19,95262315 82,2424
20,41737945 82,2424
20,89296131 82,2424
21,3796209 82,2424
21,87761624 82,2424
22,38721139 82,2424
22,90867653 82,2424
23,44228815 82,2424
23,98832919 82,2424
24,54708916 82,2424
25,11886432 82,2424
25,70395783 82,2424
26,30267992 82,2424
26,91534804 82,2424
27,54228703 82,2424
28,18382931 82,2424
28,84031503 82,2424
29,51209227 82,2424
30,1995172 82,2424
30,90295433 82,2424
31,6227766 82,2424
32,35936569 82,2424
33,11311215 82,2424
33,88441561 82,2424
34,67368505 82,2424
35,48133892 82,2424
36,30780548 82,2424
37,15352291 82,2424
38,01893963 82,2424
38,9045145 82,2424
39,81071706 82,2424
40,73802778 82,2424
41,68693835 82,2424
42,65795188 82,2424
43,65158322 82,2424
44,66835922 82,2424
45,70881896 82,2424
46,77351413 82,2424
47,86300923 82,2424
48,97788194 82,2424
50,11872336 82,2424
51,2861384 82,2424
52,48074602 82,2424
53,70317964 82,2424
54,95408739 82,2424
56,23413252 82,2424
57,54399373 82,2424
58,88436554 82,2424
60,25595861 82,2424
61,65950019 82,2424
63,09573445 82,2424
64,5654229 82,2424
66,0693448 82,2424
67,60829754 82,2424
69,18309709 82,2424
70,79457844 82,2424
72,44359601 82,2424
74,13102413 82,2424
75,8577575 82,2424
77,62471166 82,2424
79,43282347 82,2424
81,28305162 82,2424
83,17637711 82,2424
85,11380382 82,2424
87,096359 82,2424
89,12509381 82,2424
91,20108394 82,2424
93,32543008 82,2424
95,4992586 82,2424
97,7237221 82,2424
100 82,2424
102,3292992 82,2424
104,7128548 82,2424
107,1519305 82,2424
109,6478196 82,2424
112,2018454 82,2424
114,8153621 82,2424
117,4897555 82,2424
120,2264435 82,2424
123,0268771 82,2424
125,8925412 82,2424
128,8249552 82,2424
131,8256739 82,2424
134,8962883 82,2424
138,0384265 82,2424
141,2537545 82,2424
144,5439771 82,2424
147,9108388 82,2424
151,3561248 82,2424
154,8816619 82,2423
158,4893192 82,2423
162,1810097 82,2423
165,9586907 82,2423
169,8243652 82,2423
173,7800829 82,2423
177,827941 82,2423
181,9700859 82,2423
186,2087137 82,2423
190,5460718 82,2423
194,98446 82,2423
199,5262315 82,2423
204,1737945 82,2423
208,9296131 82,2423
213,796209 82,2423
218,7761624 82,2423
223,8721139 82,2423
229,0867653 82,2422
234,4228815 82,2422
239,8832919 82,2422
245,4708916 82,2422
251,1886432 82,2422
257,0395783 82,2422
263,0267992 82,2422
269,1534804 82,2422
275,4228703 82,2422
281,8382931 82,2422
288,4031503 82,2421
295,1209227 82,2421
301,995172 82,2421
309,0295433 82,2421
316,227766 82,2421
323,5936569 82,2421
331,1311215 82,242
338,8441561 82,242
346,7368505 82,242
354,8133892 82,242
363,0780548 82,242
371,5352291 82,2419
380,1893963 82,2419
389,045145 82,2419
398,1071706 82,2419
407,3802778 82,2418
416,8693835 82,2418
426,5795188 82,2418
436,5158322 82,2418
446,6835922 82,2417
457,0881896 82,2417
467,7351413 82,2417
478,6300923 82,2416
489,7788194 82,2416
501,1872336 82,2415
512,861384 82,2415
524,8074602 82,2415
537,0317964 82,2414
549,5408739 82,2414
562,3413252 82,2413
575,4399373 82,2413
588,8436554 82,2412
602,5595861 82,2411
616,5950019 82,2411
630,9573445 82,241
645,654229 82,2409
660,693448 82,2409
676,0829754 82,2408
691,8309709 82,2407
707,9457844 82,2406
724,4359601 82,2406
741,3102413 82,2405
758,577575 82,2404
776,2471166 82,2403
794,3282347 82,2402
812,8305162 82,2401
831,7637711 82,24
851,1380382 82,2399
870,96359 82,2397
891,2509381 82,2396
912,0108394 82,2395
933,2543008 82,2393
954,992586 82,2392
977,237221 82,239
1000 82,2389
1023,292992 82,2387
1047,128548 82,2385
1071,519305 82,2383
1096,478196 82,2381
1122,018454 82,2379
1148,153621 82,2377
1174,897555 82,2375
1202,264435 82,2373
1230,268771 82,237
1258,925412 82,2368
1288,249552 82,2365
1318,256739 82,2362
1348,962883 82,236
1380,384265 82,2356
1412,537545 82,2353
1445,439771 82,235
1479,108388 82,2346
1513,561248 82,2343
1548,816619 82,2339
1584,893192 82,2335
1621,810097 82,2331
1659,586907 82,2326
1698,243652 82,2322
