1 89,2809
1,023292992 89,2807
1,047128548 89,2806
1,071519305 89,2804
1,096478196 89,2802
1,122018454 89,28
1,148153621 89,2798
1,174897555 89,2795
1,202264435 89,2793
1,230268771 89,2791
1,258925412 89,2788
1,288249552 89,2785
1,318256739 89,2783
1,348962883 89,278
1,380384265 89,2777
1,412537545 89,2773
1,445439771 89,277
1,479108388 89,2766
1,513561248 89,2763
1,548816619 89,2759
1,584893192 89,2755
1,621810097 89,275
1,659586907 89,2746
1,698243652 89,2741
1,737800829 89,2737
1,77827941 89,2731
1,819700859 89,2726
1,862087137 89,272
1,905460718 89,2715
1,9498446 89,2708
1,995262315 89,2702
2,041737945 89,2695
2,089296131 89,2688
2,13796209 89,2681
2,187761624 89,2673
2,238721139 89,2665
2,290867653 89,2657
2,344228815 89,2648
2,398832919 89,2639
2,454708916 89,2629
2,511886432 89,2619
2,570395783 89,2608
2,630267992 89,2597
2,691534804 89,2585
2,754228703 89,2573
2,818382931 89,256
2,884031503 89,2547
2,951209227 89,2533
3,01995172 89,2518
3,090295433 89,2503
3,16227766 89,2487
3,235936569 89,247
3,311311215 89,2452
3,388441561 89,2434
3,467368505 89,2415
3,548133892 89,2395
3,630780548 89,2373
3,715352291 89,2351
3,801893963 89,2328
3,89045145 89,2304
3,981071706 89,2279
4,073802778 89,2252
4,168693835 89,2224
4,265795188 89,2195
4,365158322 89,2165
4,466835922 89,2133
4,570881896 89,21
4,677351413 89,2065
4,786300923 89,2029
4,897788194 89,1991
5,011872336 89,1951
5,12861384 89,1909
5,248074602 89,1866
5,370317964 89,182
5,495408739 89,1772
5,623413252 89,1722
5,754399373 89,167
5,888436554 89,1616
6,025595861 89,1558
6,165950019 89,1499
6,309573445 89,1436
6,45654229 89,1371
6,60693448 89,1303
6,760829754 89,1231
6,918309709 89,1157
7,079457844 89,1079
7,244359601 89,0997
7,413102413 89,0912
7,58577575 89,0823
7,762471166 89,073
7,943282347 89,0633
8,128305162 89,0532
8,317637711 89,0425
8,511380382 89,0315
8,7096359 89,0199
8,912509381 89,0078
9,120108394 88,9952
9,332543008 88,982
9,54992586 88,9683
9,77237221 88,9539
10 88,939
10,23292992 88,9233
10,47128548 88,907
10,71519305 88,89
10,96478196 88,8723
11,22018454 88,8538
11,48153621 88,8345
11,74897555 88,8144
12,02264435 88,7935
12,30268771 88,7717
12,58925412 88,7489
12,88249552 88,7252
13,18256739 88,7006
13,48962883 88,6749
13,80384265 88,6482
14,12537545 88,6204
14,45439771 88,5915
14,79108388 88,5614
15,13561248 88,5301
15,48816619 88,4976
15,84893192 88,4638
16,21810097 88,4287
16,59586907 88,3922
16,98243652 88,3544
17,37800829 88,3151
17,7827941 88,2743
18,19700859 88,2321
18,62087137 88,1882
19,05460718 88,1428
19,498446 88,0958
19,95262315 88,047
20,41737945 87,9966
20,89296131 87,9444
21,3796209 87,8904
21,87761624 87,8345
22,38721139 87,7768
22,90867653 87,7172
23,44228815 87,6556
23,98832919 87,5921
24,54708916 87,5265
25,11886432 87,4589
25,70395783 87,3892
26,30267992 87,3174
26,91534804 87,2435
27,54228703 87,1674
28,18382931 87,0892
28,84031503 87,0087
29,51209227 86,926
30,1995172 86,8411
30,90295433 86,7539
31,6227766 86,6645
32,35936569 86,5727
33,11311215 86,4787
33,88441561 86,3824
34,67368505 86,2837
35,48133892 86,1828
36,30780548 86,0796
37,15352291 85,974
38,01893963 85,8662
38,9045145 85,7561
39,81071706 85,6437
40,73802778 85,5291
41,68693835 85,4122
42,65795188 85,2931
43,65158322 85,1718
44,66835922 85,0483
45,70881896 84,9226
46,77351413 84,7948
47,86300923 84,6649
48,97788194 84,5329
50,11872336 84,3988
51,2861384 84,2627
52,48074602 84,1247
53,70317964 83,9847
54,95408739 83,8427
56,23413252 83,6989
57,54399373 83,5533
58,88436554 83,4058
60,25595861 83,2566
61,65950019 83,1057
63,09573445 82,9531
64,5654229 82,7988
66,0693448 82,6429
67,60829754 82,4855
69,18309709 82,3265
70,79457844 82,1661
72,44359601 82,0042
74,13102413 81,8409
75,8577575 81,6763
77,62471166 81,5103
79,43282347 81,3431
81,28305162 81,1746
83,17637711 81,0049
85,11380382 80,834
87,096359 80,6621
89,12509381 80,489
91,20108394 80,3148
93,32543008 80,1397
95,4992586 79,9636
97,7237221 79,7865
100 79,6085
102,3292992 79,4296
104,7128548 79,2498
107,1519305 79,0693
109,6478196 78,8879
112,2018454 78,7058
114,8153621 78,5229
117,4897555 78,3394
120,2264435 78,1551
123,0268771 77,9702
125,8925412 77,7847
128,8249552 77,5986
131,8256739 77,4118
134,8962883 77,2246
138,0384265 77,0367
141,2537545 76,8484
144,5439771 76,6596
147,9108388 76,4703
151,3561248 76,2805
154,8816619 76,0903
158,4893192 75,8997
162,1810097 75,7086
165,9586907 75,5172
