1 106,017
1,023292992 106,017
1,047128548 106,017
1,071519305 106,017
1,096478196 106,017
1,122018454 106,017
1,148153621 106,017
1,174897555 106,017
1,202264435 106,017
1,230268771 106,017
1,258925412 106,017
1,288249552 106,017
1,318256739 106,017
1,348962883 106,017
1,380384265 106,017
1,412537545 106,017
1,445439771 106,017
1,479108388 106,017
1,513561248 106,017
1,548816619 106,017
1,584893192 106,017
1,621810097 106,017
1,659586907 106,017
1,698243652 106,017
1,737800829 106,017
1,77827941 106,017
1,819700859 106,017
1,862087137 106,017
1,905460718 106,017
1,9498446 106,017
1,995262315 106,017
2,041737945 106,017
2,089296131 106,017
2,13796209 106,017
2,187761624 106,017
2,238721139 106,017
2,290867653 106,017
2,344228815 106,017
2,398832919 106,017
2,454708916 106,017
2,511886432 106,017
2,570395783 106,017
2,630267992 106,017
2,691534804 106,017
2,754228703 106,017
2,818382931 106,017
2,884031503 106,017
2,951209227 106,017
3,01995172 106,017
3,090295433 106,017
3,16227766 106,017
3,235936569 106,017
3,311311215 106,017
3,388441561 106,017
3,467368505 106,017
3,548133892 106,017
3,630780548 106,017
3,715352291 106,017
3,801893963 106,017
3,89045145 106,017
3,981071706 106,017
4,073802778 106,017
4,168693835 106,017
4,265795188 106,016
4,365158322 106,016
4,466835922 106,016
4,570881896 106,016
4,677351413 106,016
4,786300923 106,016
4,897788194 106,016
5,011872336 106,016
5,12861384 106,016
5,248074602 106,016
5,370317964 106,016
5,495408739 106,016
5,623413252 106,016
5,754399373 106,016
5,888436554 106,016
6,025595861 106,016
6,165950019 106,016
6,309573445 106,015
6,45654229 106,015
6,60693448 106,015
6,760829754 106,015
6,918309709 106,015
7,079457844 106,015
7,244359601 106,015
7,413102413 106,015
7,58577575 106,015
7,762471166 106,014
7,943282347 106,014
8,128305162 106,014
8,317637711 106,014
8,511380382 106,014
8,7096359 106,014
8,912509381 106,013
9,120108394 106,013
9,332543008 106,013
9,54992586 106,013
9,77237221 106,013
10 106,012
10,23292992 106,012
10,47128548 106,012
10,71519305 106,012
10,96478196 106,011
11,22018454 106,011
11,48153621 106,011
11,74897555 106,011
12,02264435 106,01
12,30268771 106,01
12,58925412 106,01
12,88249552 106,009
13,18256739 106,009
13,48962883 106,008
13,80384265 106,008
14,12537545 106,008
14,45439771 106,007
14,79108388 106,007
15,13561248 106,006
15,48816619 106,006
15,84893192 106,005
16,21810097 106,005
16,59586907 106,004
16,98243652 106,003
17,37800829 106,003
17,7827941 106,002
18,19700859 106,001
18,62087137 106
19,05460718 106
19,498446 105,999
19,95262315 105,998
20,41737945 105,997
20,89296131 105,996
21,3796209 105,995
21,87761624 105,994
22,38721139 105,993
22,90867653 105,992
23,44228815 105,991
23,98832919 105,989
24,54708916 105,988
25,11886432 105,987
25,70395783 105,985
26,30267992 105,984
26,91534804 105,982
27,54228703 105,98
28,18382931 105,979
28,84031503 105,977
29,51209227 105,975
30,1995172 105,973
30,90295433 105,971
31,6227766 105,969
32,35936569 105,967
33,11311215 105,964
33,88441561 105,962
34,67368505 105,959
35,48133892 105,956
36,30780548 105,953
37,15352291 105,951
38,01893963 105,947
38,9045145 105,944
39,81071706 105,941
40,73802778 105,937
41,68693835 105,933
42,65795188 105,929
43,65158322 105,925
44,66835922 105,921
45,70881896 105,917
46,77351413 105,912
47,86300923 105,907
48,97788194 105,902
50,11872336 105,896
51,2861384 105,891
52,48074602 105,885
53,70317964 105,879
54,95408739 105,872
56,23413252 105,866
57,54399373 105,859
58,88436554 105,851
60,25595861 105,844
61,65950019 105,836
63,09573445 105,827
64,5654229 105,819
66,0693448 105,809
67,60829754 105,8
69,18309709 105,79
70,79457844 105,779
72,44359601 105,769
74,13102413 105,757
75,8577575 105,745
77,62471166 105,733
79,43282347 105,72
81,28305162 105,706
83,17637711 105,692
85,11380382 105,677
87,096359 105,662
89,12509381 105,646
91,20108394 105,629
93,32543008 105,612
95,4992586 105,594
97,7237221 105,575
100 105,555
102,3292992 105,534
104,7128548 105,513
107,1519305 105,49
109,6478196 105,467
112,2018454 105,443
114,8153621 105,417
117,4897555 105,391
120,2264435 105,364
123,0268771 105,335
125,8925412 105,306
128,8249552 105,275
131,8256739 105,243
134,8962883 105,209
138,0384265 105,175
141,2537545 105,139
144,5439771 105,101
147,9108388 105,063
151,3561248 105,023
154,8816619 104,981
158,4893192 104,938
162,1810097 104,893
165,9586907 104,846
169,8243652 104,798
173,7800829 104,748
177,827941 104,697
181,9700859 104,644
186,2087137 104,588
190,5460718 104,531
194,98446 104,472
199,5262315 104,412
204,1737945 104,349
208,9296131 104,284
213,796209 104,217
218,7761624 104,148
223,8721139 104,077
229,0867653 104,004
234,4228815 103,929
239,8832919 103,851
245,4708916 103,772
251,1886432 103,69
257,0395783 103,606
263,0267992 103,519
269,1534804 103,431
275,4228703 103,34
281,8382931 103,247
288,4031503 103,151
295,1209227 103,054
301,995172 102,953
309,0295433 102,851
316,227766 102,746
323,5936569 102,639
331,1311215 102,53
338,8441561 102,419
346,7368505 102,305
354,8133892 102,189
363,0780548 102,071
371,5352291 101,95
380,1893963 101,827
389,045145 101,702
398,1071706 101,575
407,3802778 101,446
416,8693835 101,315
426,5795188 101,182
436,5158322 101,046
446,6835922 100,909
457,0881896 100,77
467,7351413 100,629
478,6300923 100,486
489,7788194 100,341
501,1872336 100,194
512,861384 100,045
524,8074602 99,8949
537,0317964 99,7429
549,5408739 99,5892
562,3413252 99,4339
575,4399373 99,2771
588,8436554 99,1187
602,5595861 98,9588
616,5950019 98,7974
630,9573445 98,6347
645,654229 98,4705
660,693448 98,3051
676,0829754 98,1383
691,8309709 97,9703
707,9457844 97,801
724,4359601 97,6306
741,3102413 97,459
758,577575 97,2863
776,2471166 97,1126
794,3282347 96,9378
812,8305162 96,7621
831,7637711 96,5853
851,1380382 96,4077
870,96359 96,2291
891,2509381 96,0497
912,0108394 95,8694
933,2543008 95,6883
954,992586 95,5065
977,237221 95,3239
1000 95,1406
1023,292992 94,9566
1047,128548 94,7719
1071,519305 94,5866
1096,478196 94,4007
1122,018454 94,2142
1148,153621 94,0271
1174,897555 93,8395
1202,264435 93,6514
1230,268771 93,4627
1258,925412 93,2736
1288,249552 93,084
1318,256739 92,894
1348,962883 92,7035
1380,384265 92,5126
1412,537545 92,3213
1445,439771 92,1297
1479,108388 91,9377
1513,561248 91,7453
1548,816619 91,5527
1584,893192 91,3596
1621,810097 91,1663
1659,586907 90,9727
1698,243652 90,7789
1737,800829 90,5847
1778,27941 90,3903
1819,700859 90,1957
1862,087137 90,0008
1905,460718 89,8057
1949,8446 89,6104
1995,262315 89,4148
2041,737945 89,2191
2089,296131 89,0232
2137,96209 88,8271
2187,761624 88,6308
2238,721139 88,4344
2290,867653 88,2378
2344,228815 88,0411
2398,832919 87,8442
2454,708916 87,6472
2511,886432 87,45
2570,395783 87,2527
2630,267992 87,0553
2691,534804 86,8578
2754,228703 86,6602
2818,382931 86,4625
2884,031503 86,2646
2951,209227 86,0667
3019,95172 85,8687
3090,295433 85,6706
3162,27766 85,4724
3235,936569 85,2741
3311,311215 85,0757
3388,441561 84,8773
3467,368505 84,6788
3548,133892 84,4803
3630,780548 84,2816
3715,352291 84,0829
3801,893963 83,8842
3890,45145 83,6854
3981,071706 83,4865
4073,802778 83,2876
4168,693835 83,0887
4265,795188 82,8897
4365,158322 82,6906
4466,835922 82,4915
4570,881896 82,2924
4677,351413 82,0932
4786,300923 81,894
4897,788194 81,6948
5011,872336 81,4955
5128,61384 81,2962
5248,074602 81,0968
5370,317964 80,8975
5495,408739 80,6981
5623,413252 80,4986
5754,399373 80,2992
5888,436554 80,0997
6025,595861 79,9002
6165,950019 79,7007
6309,573445 79,5012
6456,54229 79,3016
6606,93448 79,102
6760,829754 78,9024
6918,309709 78,7028
7079,457844 78,5031
7244,359601 78,3035
7413,102413 78,1038
7585,77575 77,9041
7762,471166 77,7044
7943,282347 77,5047
8128,305162 77,305
8317,637711 77,1053
8511,380382 76,9055
8709,6359 76,7058
8912,509381 76,506
9120,108394 76,3062
9332,543008 76,1064
9549,92586 75,9066
9772,37221 75,7068
10000 75,507
10232,92992 75,3072
10471,28548 75,1073
10715,19305 74,9075
10964,78196 74,7076
11220,18454 74,5078
11481,53621 74,3079
11748,97555 74,1081
12022,64435 73,9082
12302,68771 73,7083
12589,25412 73,5084
12882,49552 73,3085
13182,56739 73,1086
13489,62883 72,9087
13803,84265 72,7088
14125,37545 72,5089
14454,39771 72,309
14791,08388 72,1091
15135,61248 71,9092
15488,16619 71,7092
15848,93192 71,5093
16218,10097 71,3094
16595,86907 71,1094
16982,43652 70,9095
17378,00829 70,7096
17782,7941 70,5096
18197,00859 70,3097
18620,87137 70,1097
19054,60718 69,9098
19498,446 69,7098
19952,62315 69,5099
20417,37945 69,3099
20892,96131 69,11
21379,6209 68,91
21877,61624 68,71
22387,21139 68,5101
22908,67653 68,3101
23442,28815 68,1101
23988,32919 67,9102
24547,08916 67,7102
25118,86432 67,5102
25703,95783 67,3103
26302,67992 67,1103
26915,34804 66,9103
27542,28703 66,7103
28183,82931 66,5104
28840,31503 66,3104
29512,09227 66,1104
30199,5172 65,9104
30902,95433 65,7104
31622,7766 65,5105
32359,36569 65,3105
33113,11215 65,1105
33884,41561 64,9105
34673,68505 64,7105
35481,33892 64,5105
36307,80548 64,3106
37153,52291 64,1106
38018,93963 63,9106
38904,5145 63,7106
39810,71706 63,5106
40738,02778 63,3106
41686,93835 63,1106
42657,95188 62,9106
43651,58322 62,7106
44668,35922 62,5107
45708,81896 62,3107
46773,51413 62,1107
47863,00923 61,9107
48977,88194 61,7107
50118,72336 61,5107
51286,1384 61,3107
52480,74602 61,1107
53703,17964 60,9107
54954,08739 60,7107
56234,13252 60,5107
57543,99373 60,3107
58884,36554 60,1107
60255,95861 59,9107
61659,50019 59,7107
63095,73445 59,5108
64565,4229 59,3108
66069,3448 59,1108
67608,29754 58,9108
69183,09709 58,7108
70794,57844 58,5108
72443,59601 58,3108
74131,02413 58,1108
75857,7575 57,9108
77624,71166 57,7108
79432,82347 57,5108
81283,05162 57,3108
83176,37711 57,1108
85113,80382 56,9108
87096,359 56,7108
89125,09381 56,5108
91201,08394 56,3108
93325,43008 56,1108
95499,2586 55,9108
97723,7221 55,7108
100000 55,5108
102329,2992 55,3108
104712,8548 55,1108
107151,9305 54,9108
109647,8196 54,7108
112201,8454 54,5108
114815,3621 54,3108
117489,7555 54,1108
120226,4435 53,9108
123026,8771 53,7108
125892,5412 53,5108
128824,9552 53,3108
131825,6739 53,1108
134896,2883 52,9108
138038,4265 52,7108
141253,7545 52,5108
144543,9771 52,3108
147910,8388 52,1108
151356,1248 51,9108
154881,6619 51,7108
158489,3192 51,5108
162181,0097 51,3108
165958,6907 51,1108
169824,3652 50,9108
173780,0829 50,7108
177827,941 50,5108
181970,0859 50,3108
186208,7137 50,1108
190546,0718 49,9108
194984,46 49,7108
199526,2315 49,5108
204173,7945 49,3108
208929,6131 49,1108
213796,209 48,9108
218776,1624 48,7108
223872,1139 48,5108
229086,7653 48,3108
234422,8815 48,1108
239883,2919 47,9108
245470,8916 47,7108
251188,6432 47,5108
257039,5783 47,3108
263026,7992 47,1108
269153,4804 46,9108
275422,8703 46,7108
281838,2931 46,5108
288403,1503 46,3108
295120,9227 46,1108
301995,172 45,9108
309029,5433 45,7108
316227,766 45,5108
323593,6569 45,3108
331131,1215 45,1108
338844,1561 44,9108
346736,8505 44,7108
354813,3892 44,5108
363078,0548 44,3108
371535,2291 44,1108
380189,3963 43,9108
389045,145 43,7108
398107,1706 43,5108
407380,2778 43,3108
416869,3835 43,1108
426579,5188 42,9108
436515,8322 42,7108
446683,5922 42,5108
457088,1896 42,3108
467735,1413 42,1108
478630,0923 41,9108
489778,8194 41,7108
501187,2336 41,5108
512861,384 41,3108
524807,4602 41,1108
537031,7964 40,9108
549540,8739 40,7108
562341,3252 40,5108
575439,9373 40,3108
588843,6554 40,1108
602559,5861 39,9108
616595,0019 39,7108
630957,3445 39,5108
645654,229 39,3108
660693,448 39,1108
676082,9754 38,9108
691830,9709 38,7108
707945,7844 38,5108
724435,9601 38,3108
741310,2413 38,1108
758577,575 37,9108
776247,1166 37,7108
794328,2347 37,5108
812830,5162 37,3108
831763,7711 37,1108
851138,0382 36,9108
870963,59 36,7108
891250,9381 36,5108
912010,8394 36,3108
933254,3008 36,1108
954992,586 35,9108
977237,221 35,7108
1000000 35,5108
1023292,992 35,3108
1047128,548 35,1108
1071519,305 34,9108
1096478,196 34,7108
1122018,454 34,5108
1148153,621 34,3108
1174897,555 34,1108
1202264,435 33,9108
1230268,771 33,7108
1258925,412 33,5108
1288249,552 33,3108
1318256,739 33,1108
1348962,883 32,9108
1380384,265 32,7108
1412537,545 32,5108
1445439,771 32,3108
1479108,388 32,1108
1513561,248 31,9108
1548816,619 31,7108
1584893,192 31,5108
1621810,097 31,3108
1659586,907 31,1108
1698243,652 30,9108
1737800,829 30,7108
1778279,41 30,5108
1819700,859 30,3108
1862087,137 30,1108
1905460,718 29,9108
1949844,6 29,7108
1995262,315 29,5108
2041737,945 29,3108
2089296,131 29,1108
2137962,09 28,9108
2187761,624 28,7108
2238721,139 28,5108
2290867,653 28,3108
2344228,815 28,1108
2398832,919 27,9108
2454708,916 27,7108
2511886,432 27,5108
2570395,783 27,3108
2630267,992 27,1108
2691534,804 26,9108
2754228,703 26,7108
2818382,931 26,5108
2884031,503 26,3108
2951209,227 26,1108
3019951,72 25,9108
3090295,433 25,7108
3162277,66 25,5108
3235936,569 25,3108
3311311,215 25,1108
3388441,561 24,9108
3467368,505 24,7108
3548133,892 24,5108
3630780,548 24,3108
3715352,291 24,1108
3801893,963 23,9108
3890451,45 23,7108
3981071,706 23,5108
4073802,778 23,3108
4168693,835 23,1108
4265795,188 22,9108
4365158,322 22,7107
4466835,922 22,5107
4570881,896 22,3107
4677351,413 22,1107
4786300,923 21,9107
4897788,194 21,7107
5011872,336 21,5107
5128613,84 21,3107
5248074,602 21,1107
5370317,964 20,9107
5495408,739 20,7107
5623413,252 20,5107
5754399,373 20,3107
5888436,554 20,1107
6025595,861 19,9107
6165950,019 19,7106
6309573,445 19,5106
6456542,29 19,3106
6606934,48 19,1106
6760829,754 18,9106
6918309,709 18,7106
7079457,844 18,5106
7244359,601 18,3106
7413102,413 18,1106
7585775,75 17,9105
7762471,166 17,7105
7943282,347 17,5105
8128305,162 17,3105
8317637,711 17,1105
8511380,382 16,9105
8709635,9 16,7104
8912509,381 16,5104
9120108,394 16,3104
9332543,008 16,1104
9549925,86 15,9104
9772372,21 15,7103
10000000 15,5103
10232929,92 15,3103
10471285,48 15,1103
10715193,05 14,9102
10964781,96 14,7102
11220184,54 14,5102
11481536,21 14,3101
11748975,55 14,1101
12022644,35 13,9101
12302687,71 13,71
12589254,12 13,51
12882495,52 13,31
13182567,39 13,1099
13489628,83 12,9099
13803842,65 12,7098
14125375,45 12,5098
14454397,71 12,3097
14791083,88 12,1097
15135612,48 11,9096
15488166,19 11,7096
15848931,92 11,5095
16218100,97 11,3094
16595869,07 11,1094
16982436,52 10,9093
17378008,29 10,7092
17782794,1 10,5092
18197008,59 10,3091
18620871,37 10,109
19054607,18 9,90891
19498446 9,70882
19952623,15 9,50872
20417379,45 9,30862
20892961,31 9,10851
21379620,9 8,9084
21877616,24 8,70829
22387211,39 8,50817
22908676,53 8,30804
23442288,15 8,10791
23988329,19 7,90777
24547089,16 7,70763
25118864,32 7,50747
25703957,83 7,30731
26302679,92 7,10715
26915348,04 6,90697
27542287,03 6,70679
28183829,31 6,5066
28840315,03 6,3064
29512092,27 6,10619
30199517,2 5,90597
30902954,33 5,70574
31622776,6 5,5055
32359365,69 5,30525
33113112,15 5,10498
33884415,61 4,90471
34673685,05 4,70442
35481338,92 4,50412
36307805,48 4,3038
37153522,91 4,10347
38018939,63 3,90312
38904514,5 3,70276
39810717,06 3,50237
40738027,78 3,30198
41686938,35 3,10156
42657951,88 2,90112
43651583,22 2,70066
44668359,22 2,50018
45708818,96 2,29968
46773514,13 2,09916
47863009,23 1,89861
48977881,94 1,69803
50118723,36 1,49743
51286138,4 1,29679
52480746,02 1,09613
53703179,64 0,89544
54954087,39 0,694716
56234132,52 0,493957
57543993,73 0,293162
58884365,54 0,0923304
60255958,61 -0,10854
61659500,19 -0,309452
63095734,45 -0,510407
64565422,9 -0,711406
66069344,8 -0,912452
67608297,54 -1,11355
69183097,09 -1,31469
70794578,44 -1,51589
72443596,01 -1,71715
74131024,13 -1,91846
75857757,5 -2,11984
77624711,66 -2,32128
79432823,47 -2,52279
81283051,62 -2,72437
83176377,11 -2,92602
85113803,82 -3,12775
87096359 -3,32956
89125093,81 -3,53146
91201083,94 -3,73344
93325430,08 -3,93552
95499258,6 -4,13769
97723722,1 -4,33997
100000000 -4,54235
102329299,2 -4,74484
104712854,8 -4,94744
107151930,5 -5,15017
109647819,6 -5,35303
112201845,4 -5,55601
114815362,1 -5,75914
117489755,5 -5,96241
120226443,5 -6,16583
123026877,1 -6,36941
125892541,2 -6,57316
128824955,2 -6,77708
131825673,9 -6,98118
134896288,3 -7,18547
138038426,5 -7,38996
141253754,5 -7,59465
144543977,1 -7,79956
147910838,8 -8,00469
