1 9,54215
1,023292992 9,54215
1,047128548 9,54215
1,071519305 9,54215
1,096478196 9,54215
1,122018454 9,54215
1,148153621 9,54215
1,174897555 9,54215
1,202264435 9,54215
1,230268771 9,54215
1,258925412 9,54215
1,288249552 9,54215
1,318256739 9,54215
1,348962883 9,54215
1,380384265 9,54215
1,412537545 9,54215
1,445439771 9,54215
1,479108388 9,54215
1,513561248 9,54215
1,548816619 9,54215
1,584893192 9,54215
1,621810097 9,54215
1,659586907 9,54215
1,698243652 9,54215
1,737800829 9,54215
1,77827941 9,54215
1,819700859 9,54215
1,862087137 9,54215
1,905460718 9,54215
1,9498446 9,54215
1,995262315 9,54215
2,041737945 9,54215
2,089296131 9,54215
2,13796209 9,54215
2,187761624 9,54215
2,238721139 9,54215
2,290867653 9,54215
2,344228815 9,54215
2,398832919 9,54215
2,454708916 9,54215
2,511886432 9,54215
2,570395783 9,54215
2,630267992 9,54215
2,691534804 9,54215
2,754228703 9,54215
2,818382931 9,54215
2,884031503 9,54215
2,951209227 9,54215
3,01995172 9,54215
3,090295433 9,54215
3,16227766 9,54215
3,235936569 9,54215
3,311311215 9,54215
3,388441561 9,54215
3,467368505 9,54215
3,548133892 9,54215
3,630780548 9,54215
3,715352291 9,54215
3,801893963 9,54215
3,89045145 9,54215
3,981071706 9,54215
4,073802778 9,54215
4,168693835 9,54215
4,265795188 9,54215
4,365158322 9,54215
4,466835922 9,54215
4,570881896 9,54215
4,677351413 9,54215
4,786300923 9,54215
4,897788194 9,54215
5,011872336 9,54215
5,12861384 9,54215
5,248074602 9,54215
5,370317964 9,54215
5,495408739 9,54215
5,623413252 9,54215
5,754399373 9,54215
5,888436554 9,54215
6,025595861 9,54215
6,165950019 9,54215
6,309573445 9,54215
6,45654229 9,54215
6,60693448 9,54215
6,760829754 9,54215
6,918309709 9,54215
7,079457844 9,54215
7,244359601 9,54215
7,413102413 9,54215
7,58577575 9,54215
7,762471166 9,54215
7,943282347 9,54215
8,128305162 9,54215
8,317637711 9,54215
8,511380382 9,54215
8,7096359 9,54215
8,912509381 9,54215
9,120108394 9,54215
9,332543008 9,54215
9,54992586 9,54215
9,77237221 9,54215
10 9,54215
10,23292992 9,54215
10,47128548 9,54215
10,71519305 9,54215
10,96478196 9,54215
11,22018454 9,54215
11,48153621 9,54215
11,74897555 9,54215
12,02264435 9,54215
12,30268771 9,54215
12,58925412 9,54215
12,88249552 9,54215
13,18256739 9,54215
13,48962883 9,54215
13,80384265 9,54215
14,12537545 9,54215
14,45439771 9,54215
14,79108388 9,54215
15,13561248 9,54215
15,48816619 9,54215
15,84893192 9,54215
16,21810097 9,54215
16,59586907 9,54215
16,98243652 9,54215
17,37800829 9,54215
17,7827941 9,54215
18,19700859 9,54215
18,62087137 9,54215
19,05460718 9,54215
19,498446 9,54215
19,95262315 9,54215
20,41737945 9,54215
20,89296131 9,54215
21,3796209 9,54215
21,87761624 9,54215
22,38721139 9,54215
22,90867653 9,54215
23,44228815 9,54215
23,98832919 9,54215
24,54708916 9,54215
25,11886432 9,54215
25,70395783 9,54215
26,30267992 9,54215
26,91534804 9,54215
27,54228703 9,54215
