100 48,7239
102,3292992 48,7239
104,7128548 48,7239
107,1519305 48,7239
109,6478196 48,7239
112,2018454 48,7239
114,8153621 48,7239
117,4897555 48,7239
120,2264435 48,7239
123,0268771 48,7239
125,8925412 48,7239
128,8249552 48,7239
131,8256739 48,7239
134,8962883 48,7239
138,0384265 48,7239
141,2537545 48,7239
144,5439771 48,7239
147,9108388 48,7239
151,3561248 48,7239
154,8816619 48,7239
158,4893192 48,7239
162,1810097 48,7239
165,9586907 48,7239
169,8243652 48,7239
173,7800829 48,7239
177,827941 48,7239
181,9700859 48,7239
186,2087137 48,7239
190,5460718 48,7239
194,98446 48,7239
199,5262315 48,7239
204,1737945 48,7239
208,9296131 48,7239
213,796209 48,7239
218,7761624 48,7239
223,8721139 48,7239
229,0867653 48,7239
234,4228815 48,7239
239,8832919 48,7239
245,4708916 48,7239
251,1886432 48,7239
257,0395783 48,7239
263,0267992 48,7239
269,1534804 48,7239
275,4228703 48,7239
281,8382931 48,7239
288,4031503 48,7239
295,1209227 48,7239
301,995172 48,7239
309,0295433 48,7239
316,227766 48,7239
323,5936569 48,7239
331,1311215 48,7239
338,8441561 48,7239
346,7368505 48,7239
354,8133892 48,7239
363,0780548 48,7239
371,5352291 48,7239
380,1893963 48,7239
389,045145 48,7239
398,1071706 48,7239
407,3802778 48,7239
416,8693835 48,7239
426,5795188 48,7239
436,5158322 48,7239
446,6835922 48,7239
457,0881896 48,7239
467,7351413 48,7239
478,6300923 48,7239
489,7788194 48,7239
501,1872336 48,7239
512,861384 48,7239
524,8074602 48,7239
537,0317964 48,7239
549,5408739 48,7239
562,3413252 48,7239
575,4399373 48,7239
588,8436554 48,7239
602,5595861 48,7239
616,5950019 48,7239
630,9573445 48,7239
645,654229 48,7239
660,693448 48,7239
676,0829754 48,7239
691,8309709 48,7239
707,9457844 48,7239
724,4359601 48,7239
741,3102413 48,7239
758,577575 48,7239
776,2471166 48,7239
794,3282347 48,7239
812,8305162 48,7239
831,7637711 48,7239
851,1380382 48,7239
870,96359 48,7239
891,2509381 48,7239
912,0108394 48,7239
933,2543008 48,7239
954,992586 48,7239
977,237221 48,7239
1000 48,7239
1023,292992 48,7239
1047,128548 48,7239
1071,519305 48,7239
1096,478196 48,7239
