10 48,298
10,23292992 48,298
10,47128548 48,298
10,71519305 48,298
10,96478196 48,298
11,22018454 48,298
11,48153621 48,298
11,74897555 48,298
12,02264435 48,298
12,30268771 48,298
12,58925412 48,298
12,88249552 48,298
13,18256739 48,298
13,48962883 48,298
13,80384265 48,298
14,12537545 48,298
14,45439771 48,298
14,79108388 48,298
15,13561248 48,298
15,48816619 48,298
15,84893192 48,298
16,21810097 48,298
16,59586907 48,298
16,98243652 48,298
17,37800829 48,298
17,7827941 48,298
18,19700859 48,298
18,62087137 48,298
19,05460718 48,298
19,498446 48,298
19,95262315 48,298
20,41737945 48,298
20,89296131 48,298
21,3796209 48,298
21,87761624 48,298
22,38721139 48,298
22,90867653 48,298
23,44228815 48,298
23,98832919 48,298
24,54708916 48,298
25,11886432 48,298
25,70395783 48,298
26,30267992 48,298
26,91534804 48,298
27,54228703 48,298
28,18382931 48,298
28,84031503 48,298
29,51209227 48,298
30,1995172 48,298
30,90295433 48,298
31,6227766 48,298
32,35936569 48,298
33,11311215 48,298
33,88441561 48,298
34,67368505 48,298
35,48133892 48,298
36,30780548 48,298
37,15352291 48,298
38,01893963 48,298
38,9045145 48,298
39,81071706 48,298
40,73802778 48,298
41,68693835 48,298
42,65795188 48,298
43,65158322 48,298
44,66835922 48,298
45,70881896 48,298
46,77351413 48,298
47,86300923 48,298
48,97788194 48,298
50,11872336 48,298
51,2861384 48,298
52,48074602 48,298
53,70317964 48,298
54,95408739 48,298
56,23413252 48,298
57,54399373 48,298
58,88436554 48,298
60,25595861 48,298
61,65950019 48,298
63,09573445 48,298
64,5654229 48,298
66,0693448 48,298
67,60829754 48,298
69,18309709 48,298
70,79457844 48,298
72,44359601 48,298
74,13102413 48,298
75,8577575 48,298
77,62471166 48,298
79,43282347 48,298
81,28305162 48,298
83,17637711 48,298
85,11380382 48,298
87,096359 48,298
89,12509381 48,298
91,20108394 48,298
93,32543008 48,298
95,4992586 48,298
97,7237221 48,298
100 48,298
102,3292992 48,298
104,7128548 48,298
107,1519305 48,298
109,6478196 48,298
112,2018454 48,298
114,8153621 48,298
117,4897555 48,298
120,2264435 48,298
123,0268771 48,298
125,8925412 48,298
128,8249552 48,298
131,8256739 48,298
134,8962883 48,298
138,0384265 48,298
141,2537545 48,298
144,5439771 48,298
147,9108388 48,298
151,3561248 48,298
154,8816619 48,298
158,4893192 48,298
162,1810097 48,298
165,9586907 48,298
169,8243652 48,298
173,7800829 48,298
177,827941 48,298
181,9700859 48,298
186,2087137 48,298
190,5460718 48,298
194,98446 48,298
199,5262315 48,298
204,1737945 48,298
208,9296131 48,298
213,796209 48,298
218,7761624 48,298
223,8721139 48,298
229,0867653 48,298
234,4228815 48,298
239,8832919 48,298
245,4708916 48,298
251,1886432 48,298
257,0395783 48,298
263,0267992 48,298
269,1534804 48,298
275,4228703 48,298
281,8382931 48,298
288,4031503 48,298
295,1209227 48,298
301,995172 48,298
309,0295433 48,298
316,227766 48,298
323,5936569 48,298
331,1311215 48,298
338,8441561 48,298
346,7368505 48,298
354,8133892 48,298
363,0780548 48,298
371,5352291 48,298
380,1893963 48,298
389,045145 48,298
398,1071706 48,298
407,3802778 48,298
416,8693835 48,298
426,5795188 48,298
436,5158322 48,298
446,6835922 48,298
457,0881896 48,298
467,7351413 48,298
478,6300923 48,298
489,7788194 48,298
501,1872336 48,298
512,861384 48,298
524,8074602 48,298
537,0317964 48,298
549,5408739 48,298
562,3413252 48,298
575,4399373 48,298
588,8436554 48,298
602,5595861 48,298
616,5950019 48,298
630,9573445 48,298
645,654229 48,298
660,693448 48,298
676,0829754 48,298
691,8309709 48,298
707,9457844 48,298
724,4359601 48,298
741,3102413 48,298
758,577575 48,298
776,2471166 48,298
794,3282347 48,298
812,8305162 48,298
831,7637711 48,298
851,1380382 48,298
870,96359 48,298
891,2509381 48,298
912,0108394 48,298
933,2543008 48,298
954,992586 48,298
977,237221 48,298
1000 48,298
1023,292992 48,298
1047,128548 48,298
1071,519305 48,298
1096,478196 48,298
1122,018454 48,298
1148,153621 48,298
1174,897555 48,298
1202,264435 48,298
1230,268771 48,298
1258,925412 48,298
1288,249552 48,298
1318,256739 48,298
1348,962883 48,298
1380,384265 48,298
1412,537545 48,298
1445,439771 48,298
1479,108388 48,298
1513,561248 48,298
1548,816619 48,298
1584,893192 48,298
1621,810097 48,298
1659,586907 48,298
1698,243652 48,298
1737,800829 48,298
1778,27941 48,298
1819,700859 48,298
1862,087137 48,298
1905,460718 48,298
1949,8446 48,298
1995,262315 48,298
2041,737945 48,298
2089,296131 48,298
2137,96209 48,298
2187,761624 48,298
2238,721139 48,298
2290,867653 48,298
2344,228815 48,298
2398,832919 48,298
2454,708916 48,298
2511,886432 48,298
2570,395783 48,298
2630,267992 48,298
2691,534804 48,298
2754,228703 48,298
2818,382931 48,298
2884,031503 48,298
2951,209227 48,298
3019,95172 48,298
3090,295433 48,298
3162,27766 48,298
3235,936569 48,298
3311,311215 48,298
3388,441561 48,298
3467,368505 48,298
3548,133892 48,298
3630,780548 48,298
3715,352291 48,298
3801,893963 48,298
3890,45145 48,298
3981,071706 48,298
4073,802778 48,298
4168,693835 48,298
4265,795188 48,298
4365,158322 48,298
4466,835922 48,298
4570,881896 48,298
4677,351413 48,298
4786,300923 48,298
4897,788194 48,298
5011,872336 48,298
5128,61384 48,298
5248,074602 48,298
5370,317964 48,298
5495,408739 48,298
5623,413252 48,298
5754,399373 48,298
5888,436554 48,298
6025,595861 48,298
6165,950019 48,298
6309,573445 48,298
6456,54229 48,298
6606,93448 48,298
6760,829754 48,298
6918,309709 48,298
7079,457844 48,298
7244,359601 48,298
7413,102413 48,298
7585,77575 48,298
7762,471166 48,298
7943,282347 48,298
8128,305162 48,298
8317,637711 48,298
8511,380382 48,298
8709,6359 48,298
8912,509381 48,298
9120,108394 48,298
9332,543008 48,298
9549,92586 48,298
9772,37221 48,298
10000 48,298
10232,92992 48,298
10471,28548 48,298
10715,19305 48,298
10964,78196 48,298
11220,18454 48,298
11481,53621 48,298
11748,97555 48,298
12022,64435 48,298
12302,68771 48,298
12589,25412 48,298
12882,49552 48,298
13182,56739 48,298
13489,62883 48,298
13803,84265 48,298
14125,37545 48,298
14454,39771 48,298
14791,08388 48,298
15135,61248 48,298
15488,16619 48,298
15848,93192 48,2979
16218,10097 48,2979
16595,86907 48,2979
16982,43652 48,2979
17378,00829 48,2979
17782,7941 48,2979
18197,00859 48,2979
18620,87137 48,2979
19054,60718 48,2979
19498,446 48,2979
19952,62315 48,2979
20417,37945 48,2979
20892,96131 48,2979
21379,6209 48,2979
21877,61624 48,2979
22387,21139 48,2979
22908,67653 48,2979
23442,28815 48,2979
