1 121,326
1,023292992 121,326
1,047128548 121,326
1,071519305 121,326
1,096478196 121,326
1,122018454 121,326
1,148153621 121,326
1,174897555 121,326
1,202264435 121,326
1,230268771 121,326
1,258925412 121,326
1,288249552 121,326
1,318256739 121,326
1,348962883 121,326
1,380384265 121,326
1,412537545 121,326
1,445439771 121,326
1,479108388 121,326
1,513561248 121,326
1,548816619 121,326
1,584893192 121,326
1,621810097 121,326
1,659586907 121,326
1,698243652 121,326
1,737800829 121,326
1,77827941 121,326
1,819700859 121,326
1,862087137 121,326
1,905460718 121,326
1,9498446 121,326
1,995262315 121,326
2,041737945 121,326
2,089296131 121,326
2,13796209 121,326
2,187761624 121,326
2,238721139 121,326
2,290867653 121,326
2,344228815 121,326
2,398832919 121,326
2,454708916 121,326
2,511886432 121,326
2,570395783 121,326
2,630267992 121,326
2,691534804 121,326
2,754228703 121,326
2,818382931 121,326
2,884031503 121,326
2,951209227 121,326
3,01995172 121,326
3,090295433 121,326
3,16227766 121,326
3,235936569 121,326
3,311311215 121,326
3,388441561 121,326
3,467368505 121,326
3,548133892 121,326
3,630780548 121,326
3,715352291 121,326
3,801893963 121,326
3,89045145 121,326
3,981071706 121,326
4,073802778 121,326
4,168693835 121,326
4,265795188 121,326
4,365158322 121,326
4,466835922 121,326
4,570881896 121,326
4,677351413 121,326
4,786300923 121,326
4,897788194 121,326
5,011872336 121,326
5,12861384 121,326
5,248074602 121,326
5,370317964 121,326
5,495408739 121,326
5,623413252 121,326
5,754399373 121,326
5,888436554 121,326
6,025595861 121,326
6,165950019 121,326
6,309573445 121,326
6,45654229 121,326
6,60693448 121,326
6,760829754 121,326
6,918309709 121,326
7,079457844 121,326
7,244359601 121,326
7,413102413 121,326
7,58577575 121,326
7,762471166 121,326
7,943282347 121,326
8,128305162 121,326
8,317637711 121,326
8,511380382 121,326
8,7096359 121,326
8,912509381 121,326
9,120108394 121,326
9,332543008 121,326
9,54992586 121,326
9,77237221 121,326
10 121,326
10,23292992 121,326
10,47128548 121,326
10,71519305 121,326
10,96478196 121,326
11,22018454 121,326
11,48153621 121,325
11,74897555 121,325
12,02264435 121,325
12,30268771 121,325
12,58925412 121,325
12,88249552 121,325
13,18256739 121,325
13,48962883 121,325
13,80384265 121,325
14,12537545 121,325
14,45439771 121,325
14,79108388 121,325
15,13561248 121,325
15,48816619 121,325
15,84893192 121,325
16,21810097 121,325
16,59586907 121,325
16,98243652 121,325
17,37800829 121,325
17,7827941 121,325
18,19700859 121,325
18,62087137 121,324
19,05460718 121,324
19,498446 121,324
19,95262315 121,324
20,41737945 121,324
20,89296131 121,324
21,3796209 121,324
21,87761624 121,324
22,38721139 121,324
22,90867653 121,324
23,44228815 121,323
23,98832919 121,323
24,54708916 121,323
25,11886432 121,323
25,70395783 121,323
26,30267992 121,323
26,91534804 121,323
27,54228703 121,322
28,18382931 121,322
28,84031503 121,322
29,51209227 121,322
30,1995172 121,322
30,90295433 121,322
31,6227766 121,321
32,35936569 121,321
33,11311215 121,321
33,88441561 121,321
34,67368505 121,32
35,48133892 121,32
36,30780548 121,32
37,15352291 121,32
38,01893963 121,319
38,9045145 121,319
39,81071706 121,319
40,73802778 121,318
41,68693835 121,318
42,65795188 121,317
43,65158322 121,317
44,66835922 121,317
45,70881896 121,316
46,77351413 121,316
47,86300923 121,315
48,97788194 121,315
50,11872336 121,314
51,2861384 121,314
52,48074602 121,313
53,70317964 121,312
54,95408739 121,312
56,23413252 121,311
57,54399373 121,31
58,88436554 121,31
60,25595861 121,309
61,65950019 121,308
63,09573445 121,307
64,5654229 121,306
66,0693448 121,305
67,60829754 121,304
69,18309709 121,303
70,79457844 121,302
72,44359601 121,301
74,13102413 121,3
75,8577575 121,299
77,62471166 121,297
79,43282347 121,296
81,28305162 121,295
83,17637711 121,293
85,11380382 121,292
87,096359 121,29
89,12509381 121,288
91,20108394 121,287
93,32543008 121,285
95,4992586 121,283
97,7237221 121,281
100 121,279
102,3292992 121,276
104,7128548 121,274
107,1519305 121,272
109,6478196 121,269
112,2018454 121,266
114,8153621 121,264
117,4897555 121,261
120,2264435 121,258
123,0268771 121,254
125,8925412 121,251
128,8249552 121,247
131,8256739 121,244
134,8962883 121,24
138,0384265 121,236
141,2537545 121,232
144,5439771 121,227
147,9108388 121,223
151,3561248 121,218
154,8816619 121,213
158,4893192 121,208
162,1810097 121,202
165,9586907 121,196
169,8243652 121,19
173,7800829 121,184
177,827941 121,177
181,9700859 121,171
186,2087137 121,163
190,5460718 121,156
194,98446 121,148
199,5262315 121,14
204,1737945 121,131
208,9296131 121,122
213,796209 121,113
218,7761624 121,103
223,8721139 121,093
229,0867653 121,082
234,4228815 121,071
239,8832919 121,059
245,4708916 121,047
251,1886432 121,034
257,0395783 121,021
263,0267992 121,007
269,1534804 120,993
275,4228703 120,978
281,8382931 120,962
288,4031503 120,945
295,1209227 120,928
301,995172 120,91
309,0295433 120,892
316,227766 120,872
323,5936569 120,852
331,1311215 120,831
338,8441561 120,809
346,7368505 120,786
354,8133892 120,762
363,0780548 120,737
371,5352291 120,711
380,1893963 120,685
389,045145 120,657
398,1071706 120,627
407,3802778 120,597
