1 45,5678
1,023292992 45,5678
1,047128548 45,5678
1,071519305 45,5678
1,096478196 45,5678
1,122018454 45,5678
1,148153621 45,5678
1,174897555 45,5678
1,202264435 45,5678
1,230268771 45,5678
1,258925412 45,5678
1,288249552 45,5678
1,318256739 45,5678
1,348962883 45,5678
1,380384265 45,5678
1,412537545 45,5678
1,445439771 45,5678
1,479108388 45,5678
1,513561248 45,5678
1,548816619 45,5678
1,584893192 45,5678
1,621810097 45,5678
1,659586907 45,5678
1,698243652 45,5678
1,737800829 45,5678
1,77827941 45,5678
1,819700859 45,5678
1,862087137 45,5678
1,905460718 45,5678
1,9498446 45,5678
1,995262315 45,5678
2,041737945 45,5678
2,089296131 45,5678
2,13796209 45,5678
2,187761624 45,5678
2,238721139 45,5678
2,290867653 45,5678
2,344228815 45,5678
2,398832919 45,5678
2,454708916 45,5678
2,511886432 45,5678
2,570395783 45,5678
2,630267992 45,5678
2,691534804 45,5678
2,754228703 45,5678
2,818382931 45,5678
2,884031503 45,5678
2,951209227 45,5678
3,01995172 45,5678
3,090295433 45,5678
3,16227766 45,5678
3,235936569 45,5678
3,311311215 45,5678
3,388441561 45,5678
3,467368505 45,5678
3,548133892 45,5678
3,630780548 45,5678
3,715352291 45,5678
3,801893963 45,5678
3,89045145 45,5678
3,981071706 45,5678
4,073802778 45,5678
4,168693835 45,5678
4,265795188 45,5678
4,365158322 45,5678
4,466835922 45,5678
4,570881896 45,5678
4,677351413 45,5678
4,786300923 45,5678
4,897788194 45,5678
5,011872336 45,5678
5,12861384 45,5678
5,248074602 45,5678
5,370317964 45,5678
5,495408739 45,5678
5,623413252 45,5678
5,754399373 45,5678
5,888436554 45,5678
6,025595861 45,5678
6,165950019 45,5678
6,309573445 45,5678
6,45654229 45,5678
6,60693448 45,5678
6,760829754 45,5678
6,918309709 45,5678
7,079457844 45,5678
7,244359601 45,5678
7,413102413 45,5678
7,58577575 45,5678
7,762471166 45,5678
7,943282347 45,5678
8,128305162 45,5678
8,317637711 45,5678
8,511380382 45,5678
8,7096359 45,5678
8,912509381 45,5678
9,120108394 45,5678
9,332543008 45,5678
9,54992586 45,5678
9,77237221 45,5678
10 45,5678
10,23292992 45,5678
10,47128548 45,5678
10,71519305 45,5678
10,96478196 45,5678
11,22018454 45,5678
11,48153621 45,5678
11,74897555 45,5678
12,02264435 45,5678
12,30268771 45,5678
12,58925412 45,5678
12,88249552 45,5678
13,18256739 45,5678
13,48962883 45,5678
13,80384265 45,5678
14,12537545 45,5678
14,45439771 45,5678
14,79108388 45,5678
15,13561248 45,5678
15,48816619 45,5678
15,84893192 45,5678
16,21810097 45,5678
16,59586907 45,5678
16,98243652 45,5678
17,37800829 45,5678
17,7827941 45,5678
18,19700859 45,5678
18,62087137 45,5678
19,05460718 45,5678
19,498446 45,5678
19,95262315 45,5678
20,41737945 45,5678
20,89296131 45,5678
21,3796209 45,5678
21,87761624 45,5678
22,38721139 45,5678
22,90867653 45,5678
23,44228815 45,5678
23,98832919 45,5678
24,54708916 45,5678
25,11886432 45,5678
25,70395783 45,5678
26,30267992 45,5678
26,91534804 45,5678
27,54228703 45,5678
28,18382931 45,5678
28,84031503 45,5678
29,51209227 45,5678
30,1995172 45,5678
30,90295433 45,5678
31,6227766 45,5678
32,35936569 45,5678
33,11311215 45,5678
33,88441561 45,5678
34,67368505 45,5678
35,48133892 45,5678
36,30780548 45,5678
37,15352291 45,5678
38,01893963 45,5678
38,9045145 45,5678
39,81071706 45,5678
40,73802778 45,5678
41,68693835 45,5678
42,65795188 45,5678
43,65158322 45,5678
44,66835922 45,5678
45,70881896 45,5678
46,77351413 45,5678
47,86300923 45,5678
48,97788194 45,5678
50,11872336 45,5678
51,2861384 45,5678
52,48074602 45,5678
53,70317964 45,5678
54,95408739 45,5678
56,23413252 45,5678
57,54399373 45,5678
58,88436554 45,5678
60,25595861 45,5678
61,65950019 45,5678
63,09573445 45,5678
64,5654229 45,5678
66,0693448 45,5678
67,60829754 45,5678
69,18309709 45,5678
70,79457844 45,5678
72,44359601 45,5678
74,13102413 45,5678
75,8577575 45,5678
77,62471166 45,5678
79,43282347 45,5678
81,28305162 45,5678
83,17637711 45,5678
85,11380382 45,5678
87,096359 45,5678
89,12509381 45,5678
91,20108394 45,5678
93,32543008 45,5678
95,4992586 45,5678
97,7237221 45,5678
100 45,5678
102,3292992 45,5678
104,7128548 45,5678
107,1519305 45,5678
109,6478196 45,5678
112,2018454 45,5678
114,8153621 45,5678
117,4897555 45,5678
120,2264435 45,5678
123,0268771 45,5678
125,8925412 45,5678
128,8249552 45,5678
131,8256739 45,5678
134,8962883 45,5678
138,0384265 45,5678
141,2537545 45,5678
144,5439771 45,5678
147,9108388 45,5678
151,3561248 45,5678
154,8816619 45,5678
158,4893192 45,5678
162,1810097 45,5678
165,9586907 45,5678
169,8243652 45,5678
173,7800829 45,5678
177,827941 45,5678
181,9700859 45,5678
186,2087137 45,5678
190,5460718 45,5678
194,98446 45,5678
199,5262315 45,5678
204,1737945 45,5678
208,9296131 45,5678
213,796209 45,5678
218,7761624 45,5678
223,8721139 45,5678
229,0867653 45,5678
